"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"3137",3137,"Flushed Away","PG","Animation, Comedy, Kids & Family",85,"Certified-Fresh",73,138,64665672,2006,6.6,126309,1,0,0,0,0,0,0,0,0,1
"3138",3138,"Fly Away Home","PG","Drama, Kids & Family",107,"Certified-Fresh",87,46,25143818,1996,5.5,53,0,0,0,1,0,0,0,0,0,1
"3139",3139,"Fly Me to the Moon","G","Animation, Kids & Family, Science Fiction & Fantasy",89,"Rotten",20,84,13816982,2008,4.5,4597,0,0,0,0,1,0,0,1,0,0
"3140",3140,"Flyboys","PG-13","Action & Adventure, Drama",139,"Rotten",33,129,13090630,2006,6.5,43012,0,0,1,1,0,0,0,1,0,0
"3141",3141,"The Flying Scotsman","PG-13","Drama",103,"Rotten",50,54,171817,2007,6.1,170,0,0,0,1,0,0,0,1,0,0
"3142",3142,"Flypaper","NR","Comedy",84,"Rotten",17,18,5043,2011,5.2,782,1,0,0,0,0,0,0,1,0,0
"3143",3143,"Focus","R","Comedy, Drama",NA,"Rotten",56,225,645418,2001,6.9,193,1,0,0,1,0,0,0,1,0,0
"3144",3144,"The Fog","PG-13","Horror, Mystery & Suspense",100,"Rotten",4,70,21448782,1980,7,36,0,1,0,0,0,0,0,1,0,0
"3145",3145,"Follow Me: The Yoni Netanyahu Story","NR","Documentary",87,"Rotten",50,14,112679,2012,6.8,177,0,0,0,0,0,0,1,1,0,0
"3146",3146,"Following","R","Art House & International, Drama, Mystery & Suspense",69,"Fresh",81,31,48482,1999,7.5,93530,0,0,0,1,0,1,0,0,1,0
"3147",3147,"Food, Inc.","PG","Documentary, Special Interest",94,"Certified-Fresh",95,114,4417674,2009,7.8,51243,0,0,0,0,0,0,1,0,0,1
"3148",3148,"Food of Love","R","Drama, Gay & Lesbian",112,"Rotten",46,28,43922,2002,4.8,93,0,0,0,1,0,0,0,1,0,0
"3149",3149,"Foolish","R","Comedy, Drama",96,"Rotten",0,16,6033999,1999,4.9,7406,1,0,0,1,0,0,0,1,0,0
"3150",3150,"Fool's Gold","PG-13","Action & Adventure, Comedy, Romance",112,"Rotten",11,145,70231041,2008,4.1,18,1,0,1,0,0,0,0,1,0,0
"3151",3151,"Fools Rush In","PG-13","Comedy, Romance",108,"Rotten",32,28,29481428,1997,6.3,78,1,0,0,0,0,0,0,1,0,0
"3152",3152,"For Colored Girls","R","Drama, Special Interest",134,"Rotten",32,109,37729698,2010,6.1,7815,0,0,0,1,0,0,0,1,0,0
"3153",3153,"For All Mankind","NR","Documentary, Special Interest",90,"Fresh",94,17,770132,1989,8.1,5874,0,0,0,0,0,0,1,0,1,0
"3154",3154,"For Ellen","NR","Drama",93,"Fresh",67,36,12396,2012,6,2192,0,0,0,1,0,0,0,0,1,0
"3155",3155,"For Ever Mozart","NR","Art House & International, Special Interest",84,"Rotten",50,10,25000,1997,6.1,1050,0,0,0,0,0,1,0,1,0,0
"3156",3156,"For Love of the Game","PG-13","Drama, Romance",137,"Rotten",46,94,35188640,1999,6.6,35432,0,0,0,1,0,0,0,1,0,0
"3157",3157,"For Love or Money","PG","Comedy, Romance",94,"Rotten",37,19,11146270,1993,6.3,14,1,0,0,0,0,0,0,1,0,0
"3158",3158,"For Richer or Poorer","PG-13","Comedy",115,"Rotten",14,21,31642995,1997,5.8,11232,1,0,0,0,0,0,0,1,0,0
"3159",3159,"For the Bible Tells Me So","PG-13","Documentary, Special Interest, Faith & Spirituality",95,"Certified-Fresh",98,51,312751,2007,7.8,4451,0,0,0,0,0,0,1,0,0,1
"3160",3160,"For the Boys","R","Comedy, Drama",145,"Rotten",43,14,17860280,1991,6.3,5821,1,0,0,1,0,0,0,1,0,0
"3161",3161,"For the Love of Spock","NR","Documentary",100,"Fresh",100,31,80141,2016,7.6,4512,0,0,0,0,0,0,1,0,1,0
"3162",3162,"For Your Eyes Only","PG","Action & Adventure, Mystery & Suspense",127,"Fresh",71,51,54812802,1981,6.7,101746,0,0,1,0,0,0,0,0,1,0
"3163",3163,"The Forbidden Kingdom","PG-13","Action & Adventure",105,"Fresh",64,130,52075270,2008,6.5,106081,0,0,1,0,0,0,0,0,1,0
"3164",3164,"Forces of Nature","PG-13","Comedy, Drama, Romance",104,"Rotten",45,66,52888180,1999,5.5,34511,1,0,0,1,0,0,0,1,0,0
"3165",3165,"Forever My Girl","PG","Drama, Musical & Performing Arts, Romance",108,"Rotten",25,53,16376066,2018,6.6,17851,0,0,0,1,0,0,0,1,0,0
"3166",3166,"Forget Paris","PG-13","Comedy, Drama, Romance",101,"Rotten",50,34,33177694,1995,6.5,12511,1,0,0,1,0,0,0,1,0,0
"3167",3167,"Forgetting Sarah Marshall","R","Comedy, Romance",112,"Certified-Fresh",83,186,63172463,2008,7.1,285179,1,0,0,0,0,0,0,0,0,1
"3168",3168,"Forgiving Dr. Mengele","NR","Documentary, Special Interest",82,"Fresh",91,23,10403,2006,7.1,603,0,0,0,0,0,0,1,0,1,0
