"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes","comedy","horror","action","drama","scifi","arthouse","documentary","rotten","fresh","cert_fresh"
"1",1,"Please Give","R","Comedy",90,"Certified-Fresh",87,142,4033574,2010,6.6,11359,1,0,0,0,0,0,0,0,0,1
"2",2,"Dark Water","PG-13","Art House & International, Horror, Mystery & Suspense",100,"Fresh",80,15,25473352,2005,5.1,199,0,1,0,0,0,1,0,0,1,0
"3",3,"The Accused","R","Drama, Mystery & Suspense",110,"Fresh",91,22,32078318,1988,6.8,960,0,0,0,1,0,0,0,0,1,0
"4",4,"The Lost City","R","Drama",143,"Rotten",25,83,2484186,2006,3.6,32,0,0,0,1,0,0,0,1,0,0
"5",5,"The Bridge of San Luis Rey","PG","Art House & International, Drama, Faith & Spirituality",124,"Rotten",4,24,49981,2005,7,89,0,0,0,1,0,1,0,1,0,0
"6",6,"Criminal","R","Drama, Mystery & Suspense",87,"Fresh",69,124,929233,2004,5.3,46,0,0,0,1,0,0,0,0,1,0
"7",7,"The Adventures of Mark Twain","G","Action & Adventure, Animation, Kids & Family",86,"Fresh",80,5,849915,1986,7.1,1239,0,0,1,0,0,0,0,0,1,0
"8",8,"Deep Blue","G","Documentary, Special Interest",90,"Fresh",67,52,132261,2005,2.9,101,0,0,0,0,0,0,1,0,1,0
"9",9,"Bandwagon","R","Comedy",103,"Fresh",80,5,44544,1997,7,655,1,0,0,0,0,0,0,0,1,0
"10",10,"Whore","R","Art House & International, Drama",77,"Rotten",0,6,1008404,1991,5.6,3884,0,0,0,1,0,1,0,1,0,0
"11",11,"Wild Side","NR","Art House & International, Drama",94,"Fresh",63,16,15355,2005,5.6,2281,0,0,0,1,0,1,0,0,1,0
"12",12,"A Tale of Two Pizzas","PG","Comedy",82,"Rotten",38,8,14831,2005,5.6,163,1,0,0,0,0,0,0,1,0,0
"13",13,"Running Scared","R","Action & Adventure, Drama, Mystery & Suspense",121,"Rotten",41,131,38500726,1986,7.3,33,0,0,1,1,0,0,0,1,0,0
"14",14,"Going the Distance","R","Comedy",93,"Rotten",0,5,17804299,2010,7.3,33,1,0,0,0,0,0,0,1,0,0
"15",15,"Ultraviolet","PG-13","Action & Adventure, Drama, Horror, Science Fiction & Fantasy",88,"Rotten",8,83,18535812,2006,5,169,0,1,1,1,1,0,0,1,0,0
"16",16,"Home of the Brave","R","Action & Adventure, Documentary, Drama, Special Interest",75,"Fresh",93,15,51708,2006,7,733,0,0,1,1,0,0,1,0,1,0
"17",17,"Malevolence","R","Horror",90,"Rotten",33,18,127287,2004,5.9,48,0,1,0,0,0,0,0,1,0,0
"18",18,"Eternal","R","Horror, Mystery & Suspense",108,"Rotten",21,34,28089,2005,4.8,1453,0,1,0,0,0,0,0,1,0,0
"19",19,"The Matador","R","Action & Adventure, Comedy, Drama, Mystery & Suspense",97,"Certified-Fresh",75,156,12594698,2005,6.7,45218,1,0,1,1,0,0,0,0,0,1
"20",20,"Smile","PG-13","Art House & International, Comedy, Drama",107,"Rotten",15,13,32833,2005,7.1,2372,1,0,0,1,0,1,0,1,0,0
"21",21,"Saint Ralph","PG-13","Comedy, Drama",98,"Fresh",64,69,489389,2005,7.4,6099,1,0,0,1,0,0,0,0,1,0
"22",22,"The Baxter","PG-13","Comedy, Romance",91,"Rotten",32,75,181872,2005,6.5,4833,1,0,0,0,0,0,0,1,0,0
"23",23,"Oliver Twist","PG-13","Drama, Kids & Family",130,"Fresh",61,143,2080321,2005,5.2,38,0,0,0,1,0,0,0,0,1,0
"24",24,"G","R","Drama, Romance",96,"Rotten",24,29,3020784,2005,5.2,1434,0,0,0,1,0,0,0,1,0,0
"25",25,"Alfie","PG","Classics, Comedy, Drama, Romance",114,"Fresh",96,27,13399812,2004,7,14804,1,0,0,1,0,0,0,0,1,0
"26",26,"The Second Chance","PG-13","Drama, Faith & Spirituality",104,"Rotten",44,16,463542,2006,6.4,1307,0,0,0,1,0,0,0,1,0,0
"27",27,"Moonlight","R","Drama, Mystery & Suspense",90,"Fresh",60,10,51570,2006,6.9,20,0,0,0,1,0,0,0,0,1,0
"28",28,"Aliens","R","Action & Adventure, Horror, Science Fiction & Fantasy",137,"Certified-Fresh",97,76,85160248,1986,8.4,711979,0,1,1,0,1,0,0,0,0,1
"29",29,"When Do We Eat?","R","Comedy",87,"Rotten",42,38,431513,2006,6.1,15,1,0,0,0,0,0,0,1,0,0
"30",30,"The Mostly Unfabulous Social Life of Ethan Green","R","Comedy, Drama",88,"Rotten",30,27,153122,2006,6,2044,1,0,0,1,0,0,0,1,0,0
"31",31,"Dirty","R","Drama",97,"Rotten",21,28,274245,2006,5.8,134,0,0,0,1,0,0,0,1,0,0
"32",32,"Stay Alive","PG-13","Horror, Mystery & Suspense",85,"Rotten",10,59,23086480,2006,5,32611,0,1,0,0,0,0,0,1,0,0
"33",33,"All of Me","PG","Comedy, Science Fiction & Fantasy",93,"Certified-Fresh",85,41,36403064,1984,5.9,113,1,0,0,0,1,0,0,0,0,1
"34",34,"Dreamland","PG-13","Art House & International, Drama",88,"Fresh",67,15,6383,2006,7.2,8,0,0,0,1,0,1,0,0,1,0
"35",35,"All the King's Men","PG","Classics, Drama",109,"Certified-Fresh",95,42,7221458,2006,7.4,15209,0,0,0,1,0,0,0,0,0,1
"36",36,"Street Fight","NR","Documentary, Special Interest",86,"Fresh",100,22,4779,2006,7.9,2067,0,0,0,0,0,0,1,0,1,0
"37",37,"The Motel","NR","Comedy, Drama",76,"Fresh",88,32,51540,2006,6.6,1402,1,0,0,1,0,0,0,0,1,0
"38",38,"Requiem","NR","Art House & International, Drama, Horror, Mystery & Suspense",92,"Fresh",86,36,9600,2006,7.1,167,0,1,0,1,0,1,0,0,1,0
"39",39,"Bon Cop, Bad Cop","R","Action & Adventure, Comedy",116,"Fresh",78,9,12665721,2006,6.7,12740,1,0,1,0,0,0,0,0,1,0
"40",40,"Amazing Grace","PG","Drama, Mystery & Suspense",116,"Fresh",67,126,21250683,2007,5.7,255,0,0,0,1,0,0,0,0,1,0
"41",41,"The Silence","R","Action & Adventure, Drama, Mystery & Suspense, Television",104,"Rotten",50,6,100214,2013,6.8,46,0,0,1,1,0,0,0,1,0,0
"42",42,"Cocaine Cowboys","R","Documentary",116,"Fresh",69,51,150056,2006,4.1,338,0,0,0,0,0,0,1,0,1,0
"43",43,"Gone","R","Horror, Mystery & Suspense",88,"Rotten",54,13,11682205,2012,6.8,1413,0,1,0,0,0,0,0,1,0,0
"44",44,"The Situation","R","Drama, Mystery & Suspense",106,"Rotten",35,48,48896,2007,6.3,870,0,0,0,1,0,0,0,1,0,0
"45",45,"It's a Boy Girl Thing","PG-13","Comedy, Romance",95,"Fresh",67,9,848,2007,6.2,41386,1,0,0,0,0,0,0,0,1,0
"46",46,"Slipstream","R","Art House & International, Comedy, Drama, Science Fiction & Fantasy",97,"Rotten",25,40,8965,2007,6.7,43,1,0,0,1,1,1,0,1,0,0
"47",47,"Interview","R","Art House & International, Drama",84,"Rotten",58,125,416951,2007,7.9,256,0,0,0,1,0,1,0,1,0,0
"48",48,"American Anthem","PG-13","Action & Adventure, Documentary, Drama",102,"Rotten",0,16,4845724,1986,4.8,1668,0,0,1,1,0,0,1,1,0,0
"49",49,"The Ten","R","Comedy",99,"Rotten",35,82,769726,2007,4.9,16719,1,0,0,0,0,0,0,1,0,0
"50",50,"The Happening","R","Drama, Mystery & Suspense, Science Fiction & Fantasy",89,"Rotten",17,183,64506874,2008,5.2,779,0,0,0,1,1,0,0,1,0,0
"51",51,"Spiral","PG-13","Drama, Mystery & Suspense",90,"Rotten",55,11,8190,2018,6.3,3792,0,0,0,1,0,0,0,1,0,0
"52",52,"Alexandra","NR","Drama",95,"Certified-Fresh",88,59,128222,2008,5.1,12,0,0,0,1,0,0,0,0,0,1
"53",53,"Pathology","R","Drama, Mystery & Suspense",93,"Rotten",45,22,109846,2008,5.9,32492,0,0,0,1,0,0,0,1,0,0
"54",54,"Deep Water","PG","Documentary, Special Interest",93,"Certified-Fresh",96,55,271143,2007,7.8,3172,0,0,0,0,0,0,1,0,0,1
"55",55,"Beverly Hills Chihuahua","PG","Comedy",91,"Rotten",40,99,94514402,2008,3.9,24529,1,0,0,0,0,0,0,1,0,0
"56",56,"Fireflies in the Garden","R","Drama",98,"Rotten",22,54,70600,2011,6.4,13049,0,0,0,1,0,0,0,1,0,0
"57",57,"The Eye","PG-13","Drama, Horror, Mystery & Suspense",97,"Rotten",21,80,31418697,2008,5.4,53814,0,1,0,1,0,0,0,1,0,0
"58",58,"Day of the Dead","R","Horror, Mystery & Suspense",87,"Rotten",13,8,5000000,1985,7.1,69403,0,1,0,0,0,0,0,1,0,0
"59",59,"My Best Friend's Girl","R","Comedy, Drama",103,"Rotten",14,59,19219250,2008,5.8,44505,1,0,0,1,0,0,0,1,0,0
"60",60,"The Lucky Ones","R","Comedy, Drama",115,"Rotten",37,75,266967,2008,6.6,25,1,0,0,1,0,0,0,1,0,0
"61",61,"Closing Escrow","PG","Comedy",95,"Rotten",54,13,8719,2007,5.3,526,1,0,0,0,0,0,0,1,0,0
"62",62,"Whiteout","R","Action & Adventure, Drama, Mystery & Suspense",101,"Rotten",7,116,10275638,2009,5.5,39014,0,0,1,1,0,0,0,1,0,0
"63",63,"Randy and the Mob","PG","Comedy, Documentary",99,"Rotten",56,9,45410,2007,5.8,394,1,0,0,0,0,0,1,1,0,0
"64",64,"Black Irish","R","Drama",94,"Rotten",31,13,6900,2007,6.9,2581,0,0,0,1,0,0,0,1,0,0
"65",65,"King Corn","NR","Documentary, Musical & Performing Arts, Special Interest",90,"Fresh",96,26,105422,2007,7,2031,0,0,0,0,0,0,1,0,1,0
"66",66,"Darfur Now","PG","Documentary, Drama, Musical & Performing Arts, Special Interest",99,"Fresh",73,59,109107,2007,6.7,762,0,0,0,1,0,0,1,0,1,0
"67",67,"Rails & Ties","PG-13","Drama",101,"Rotten",34,47,22136,2007,6.7,4162,0,0,0,1,0,0,0,1,0,0
"68",68,"Mr. Untouchable","R","Documentary",92,"Fresh",73,26,104678,2007,6.6,929,0,0,0,0,0,0,1,0,1,0
"69",69,"House","R","Drama, Horror, Mystery & Suspense",88,"Rotten",0,13,19444631,1986,6.1,27202,0,1,0,1,0,0,0,1,0,0
"70",70,"Canvas","PG-13","Drama",101,"Fresh",78,27,35630,2007,4.3,139,0,0,0,1,0,0,0,0,1,0
"71",71,"Skid Row","R","Documentary, Special Interest",80,"Fresh",83,6,6627,2007,6.4,313,0,0,0,0,0,0,1,0,1,0
"72",72,"Saawariya","PG","Art House & International, Drama, Musical & Performing Arts, Romance",146,"Rotten",38,21,885574,2007,5.2,7951,0,0,0,1,0,1,0,1,0,0
"73",73,"Aaja Nachle","NR","Art House & International, Drama, Musical & Performing Arts, Romance",147,"Fresh",67,6,484108,2007,6.2,3296,0,0,0,1,0,1,0,0,1,0
"74",74,"What Happens in Vegas","PG-13","Comedy, Romance",99,"Rotten",26,133,80277646,2008,6.1,177379,1,0,0,0,0,0,0,1,0,0
"75",75,"Appaloosa","R","Action & Adventure, Western",116,"Certified-Fresh",76,164,20211394,2008,6.7,61615,0,0,1,0,0,0,0,0,0,1
"76",76,"Good","R","Drama",96,"Rotten",32,71,27276,2008,6.2,7456,0,0,0,1,0,0,0,1,0,0
"77",77,"The Visitor","PG-13","Drama",103,"Certified-Fresh",89,120,9427089,2008,7.6,43315,0,0,0,1,0,0,0,0,0,1
"78",78,"Married Life","PG-13","Comedy, Drama, Mystery & Suspense, Romance",90,"Rotten",54,118,1507990,2008,6.2,9442,1,0,0,1,0,0,0,1,0,0
"79",79,"Badland","R","Drama",165,"Rotten",16,19,1924,2007,6.1,487,0,0,0,1,0,0,0,1,0,0
"80",80,"The Oxford Murders","R","Art House & International, Drama, Horror, Mystery & Suspense",110,"Rotten",17,12,4803,2010,6.1,29390,0,1,0,1,0,1,0,1,0,0
"81",81,"Untraceable","R","Drama, Horror, Mystery & Suspense",101,"Rotten",16,148,28687835,2008,6.2,50828,0,1,0,1,0,0,0,1,0,0
"82",82,"The Informers","R","Drama, Mystery & Suspense",98,"Rotten",12,105,300000,2009,6.9,360,0,0,0,1,0,0,0,1,0,0
"83",83,"Meeting Resistance","NR","Documentary, Special Interest",84,"Fresh",82,22,20616,2007,7.7,88,0,0,0,0,0,0,1,0,1,0
"84",84,"The Freshman","PG","Comedy, Drama",102,"Certified-Fresh",94,49,21460601,1990,7.5,5612,1,0,0,1,0,0,0,0,0,1
"85",85,"Kenny","PG-13","Comedy",100,"Fresh",100,25,69220,2008,6.2,255,1,0,0,0,0,0,0,0,1,0
"86",86,"The Rocker","PG-13","Comedy, Drama",102,"Rotten",41,123,6409528,2008,6.2,38932,1,0,0,1,0,0,0,1,0,0
"87",87,"The Perfect Holiday","PG-13","Kids & Family, Romance",96,"Rotten",19,59,5812781,2007,4.7,3131,0,0,0,0,0,0,0,1,0,0
"88",88,"Land of the Lost","PG-13","Action & Adventure, Comedy, Science Fiction & Fantasy",102,"Rotten",26,190,49438370,2009,5.3,70979,1,0,1,0,1,0,0,1,0,0
"89",89,"Look","R","Comedy, Drama",98,"Fresh",60,35,16136,2007,6.6,1818,1,0,0,1,0,0,0,0,1,0
"90",90,"And God Created Woman","R","Classics, Comedy, Drama, Romance",98,"Rotten",38,8,717376,1988,4.3,1957,1,0,0,1,0,0,0,1,0,0
"91",91,"The Box","PG-13","Horror, Mystery & Suspense, Science Fiction & Fantasy",113,"Rotten",44,155,15051977,2009,6.8,35,0,1,0,0,1,0,0,1,0,0
"92",92,"Undoing","R","Drama, Mystery & Suspense",90,"Rotten",31,13,44999,2008,4.2,226,0,0,0,1,0,0,0,1,0,0
"93",93,"21","PG-13","Drama, Mystery & Suspense",122,"Rotten",35,170,81159365,2008,7.3,89,0,0,0,1,0,0,0,1,0,0
"94",94,"Ben X","NR","Art House & International, Drama, Mystery & Suspense",93,"Fresh",68,38,1601,2008,7.3,18973,0,0,0,1,0,1,0,0,1,0
"95",95,"Body of Lies","R","Drama, Mystery & Suspense",128,"Rotten",55,213,39394666,2008,7,229117,0,0,0,1,0,0,0,1,0,0
"96",96,"Passengers","PG-13","Drama, Mystery & Suspense",92,"Rotten",19,31,292437,2008,5.8,37462,0,0,0,1,0,0,0,1,0,0
"97",97,"The Grand","R","Comedy",104,"Rotten",40,43,115879,2008,5.9,5854,1,0,0,0,0,0,0,1,0,0
"98",98,"The Hammer","R","Comedy",93,"Certified-Fresh",80,40,443591,2008,7.1,6071,1,0,0,0,0,0,0,0,0,1
"99",99,"Shutter","PG-13","Horror, Mystery & Suspense",85,"Rotten",9,66,25928550,2008,7,45271,0,1,0,0,0,0,0,1,0,0
"100",100,"Priest","PG-13","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy, Western",87,"Rotten",15,100,29136626,2011,7.1,10486,0,1,1,0,1,0,0,1,0,0
"101",101,"The Escapist","R","Art House & International, Mystery & Suspense",103,"Fresh",64,45,13439,2009,4.9,30,0,0,0,0,0,1,0,0,1,0
"102",102,"Sugar","R","Drama, Sports & Fitness",118,"Certified-Fresh",92,137,1082124,2009,5.7,1989,0,0,0,1,0,0,0,0,0,1
"103",103,"Quid Pro Quo","R","Drama, Mystery & Suspense",81,"Fresh",61,36,11864,2008,6.1,2488,0,0,0,1,0,0,0,0,1,0
"104",104,"Red","R","Drama, Mystery & Suspense",95,"Fresh",70,27,90380162,2010,6.8,84,0,0,0,1,0,0,0,0,1,0
"105",105,"The Road","R","Drama, Mystery & Suspense, Science Fiction & Fantasy",110,"Certified-Fresh",73,215,8117000,2009,7.2,239214,0,0,0,1,1,0,0,0,0,1
"106",106,"G-Force","PG","Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",88,"Rotten",22,127,119436770,2009,5.1,46866,1,0,1,0,1,0,0,1,0,0
"107",107,"The Other Man","R","Drama",90,"Rotten",15,39,149528,2009,6.8,130,0,0,0,1,0,0,0,1,0,0
"108",108,"The Duchess","PG-13","Drama",109,"Fresh",62,170,13848978,2008,6.9,83516,0,0,0,1,0,0,0,0,1,0
"109",109,"Public Enemies","R","Action & Adventure, Drama",140,"Fresh",68,278,97104620,2009,7.2,28,0,0,1,1,0,0,0,0,1,0
"110",110,"Fade to Black","R","Mystery & Suspense",105,"Rotten",29,7,728921,2004,6,4394,0,0,0,0,0,0,0,1,0,0
"111",111,"Angel Heart","R","Drama, Mystery & Suspense",113,"Fresh",79,29,17185632,1987,7.2,88622,0,0,0,1,0,0,0,0,1,0
"112",112,"Old Dogs","PG","Comedy, Drama, Kids & Family",88,"Rotten",5,110,49492060,2009,5.3,38171,1,0,0,1,0,0,0,1,0,0
"113",113,"Surrogates","PG-13","Action & Adventure, Comedy, Mystery & Suspense, Science Fiction & Fantasy",88,"Rotten",37,116,38577772,2009,6.3,175411,1,0,1,0,1,0,0,1,0,0
"114",114,"The Promotion","R","Comedy",86,"Rotten",53,77,408709,2008,5.6,18941,1,0,0,0,0,0,0,1,0,0
"115",115,"Soul Men","R","Comedy, Musical & Performing Arts",100,"Rotten",46,98,12082391,2008,6.4,11106,1,0,0,0,0,0,0,1,0,0
"116",116,"Igor","PG","Animation, Comedy, Kids & Family",86,"Rotten",39,93,19528602,2008,5.9,23545,1,0,0,0,0,0,0,1,0,0
"117",117,"The Stone Angel","R","Drama",115,"Rotten",44,25,459166,2008,6.1,1794,0,0,0,1,0,0,0,1,0,0
"118",118,"Alvin and the Chipmunks: The Squeakquel","PG","Animation, Comedy, Kids & Family",89,"Rotten",20,84,219614612,2009,4.5,49442,1,0,0,0,0,0,0,1,0,0
"119",119,"Ripple Effect","R","Drama",83,"Rotten",29,7,14059,2008,4.9,750,0,0,0,1,0,0,0,1,0,0
"120",120,"Harold","PG-13","Comedy",94,"Rotten",31,16,13229,2008,5.4,1949,1,0,0,0,0,0,0,1,0,0
"121",121,"Push","PG-13","Mystery & Suspense, Science Fiction & Fantasy",111,"Rotten",23,127,31811527,2009,4.4,604,0,0,0,0,1,0,0,1,0,0
"122",122,"Bitch Slap","R","Action & Adventure",104,"Rotten",29,17,17365,2010,4.4,13833,0,0,1,0,0,0,0,1,0,0
"123",123,"Forever Strong","PG-13","Drama",112,"Rotten",29,21,719556,2008,7.1,10724,0,0,0,1,0,0,0,1,0,0
"124",124,"Chocolate","R","Action & Adventure, Art House & International",110,"Fresh",74,34,14845,2009,6.8,37,0,0,1,0,0,1,0,0,1,0
"125",125,"Fireproof","PG","Drama",122,"Rotten",38,21,33456317,2008,6.4,22968,0,0,0,1,0,0,0,1,0,0
"126",126,"Dostana","R","Art House & International, Comedy",145,"Fresh",87,15,1243910,2008,6.4,1010,1,0,0,0,0,1,0,0,1,0
"127",127,"The Garden","NR","Documentary, Special Interest",80,"Fresh",79,24,26931,2009,6.4,986,0,0,0,0,0,0,1,0,1,0
"128",128,"Leaves of Grass","R","Comedy, Drama, Mystery & Suspense",104,"Fresh",61,38,70066,2010,6.4,27288,1,0,0,1,0,0,0,0,1,0
"129",129,"The Proposal","PG-13","Comedy, Romance",108,"Rotten",45,188,163958031,2009,5.3,732,1,0,0,0,0,0,0,1,0,0
"130",130,"Gigantic","R","Comedy, Romance",99,"Rotten",36,83,102704,2009,6,9735,1,0,0,0,0,0,0,1,0,0
"131",131,"Fuel","NR","Documentary, Special Interest",111,"Fresh",72,18,32465,2009,8,60,0,0,0,0,0,0,1,0,1,0
"132",132,"Hush","NR","Mystery & Suspense",91,"Rotten",50,8,13583690,1998,5.4,12368,0,0,0,0,0,0,0,1,0,0
"133",133,"Anna Karenina","NR","Classics, Drama, Romance",95,"Fresh",93,14,12816367,2012,6.3,23,0,0,0,1,0,0,0,0,1,0
"134",134,"Orphan","R","Drama, Horror, Mystery & Suspense",123,"Rotten",56,154,41596251,2009,7.2,28,0,1,0,1,0,0,0,1,0,0
"135",135,"My Sister's Keeper","PG-13","Drama",108,"Rotten",48,137,49200230,2009,6,431,0,0,0,1,0,0,0,1,0,0
"136",136,"The Hangover","R","Comedy",99,"Certified-Fresh",78,239,277322503,2009,7.7,780035,1,0,0,0,0,0,0,0,0,1
"137",137,"The Stepfather","PG-13","Horror, Mystery & Suspense",101,"Rotten",11,63,2488740,1987,6.7,16104,0,1,0,0,0,0,0,1,0,0
"138",138,"Season of the Witch","PG-13","Action & Adventure, Drama, Mystery & Suspense, Science Fiction & Fantasy",95,"Rotten",11,124,24827228,2011,5.4,94546,0,0,1,1,1,0,0,1,0,0
"139",139,"Shuttle","R","Mystery & Suspense",106,"Rotten",50,22,1925,2009,5.6,5833,0,0,0,0,0,0,0,1,0,0
"140",140,"Miss March","R","Comedy",89,"Rotten",5,80,4543320,2009,5,21542,1,0,0,0,0,0,0,1,0,0
"141",141,"An American Affair","R","Drama, Mystery & Suspense",93,"Rotten",16,37,28044,2009,3.4,215,0,0,0,1,0,0,0,1,0,0
"142",142,"Endgame","PG-13","Drama, Mystery & Suspense",109,"Fresh",71,7,9645,2009,7.5,320,0,0,0,1,0,0,0,0,1,0
"143",143,"The Objective","NR","Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy",90,"Rotten",33,12,95,2009,5.4,8155,0,1,1,0,1,0,0,1,0,0
"144",144,"Happy Tears","R","Comedy, Drama",96,"Rotten",27,33,22464,2010,5.1,1559,1,0,0,1,0,0,0,1,0,0
"145",145,"The Missing Person","NR","Comedy, Drama, Mystery & Suspense",95,"Fresh",64,25,17896,2009,6,1614,1,0,0,1,0,0,0,0,1,0
"146",146,"Crude","NR","Documentary, Special Interest",104,"Certified-Fresh",95,66,170295,2009,6,67,0,0,0,0,0,0,1,0,0,1
"147",147,"The Messenger","R","Drama, Romance",112,"Certified-Fresh",90,162,1109660,2009,4.4,200,0,0,0,1,0,0,0,0,0,1
"148",148,"Outrage","R","Documentary",90,"Certified-Fresh",77,60,287198,2009,6.8,1511,0,0,0,0,0,0,1,0,0,1
"149",149,"New World Order","NR","Documentary, Special Interest",85,"Rotten",56,9,20205,2016,5.7,678,0,0,0,0,0,0,1,1,0,0
"150",150,"April Fool's Day","R","Horror",89,"Rotten",50,20,12947763,1986,6.1,16824,0,1,0,0,0,0,0,1,0,0
"151",151,"Blood: The Last Vampire","R","Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",89,"Rotten",25,53,257412,2009,6.6,12748,0,1,1,0,1,1,0,1,0,0
"152",152,"Shrink","R","Comedy, Drama",104,"Rotten",27,64,189621,2009,6.6,18880,1,0,0,1,0,0,0,1,0,0
"153",153,"Last Ride","PG-13","Drama",100,"Fresh",93,28,6853,2012,6.4,48,0,0,0,1,0,0,0,0,1,0
"154",154,"The Canyon","R","Drama, Mystery & Suspense",102,"Rotten",27,15,1785,2009,5.8,4709,0,0,0,1,0,0,0,1,0,0
"155",155,"Broken Hill","PG","Drama, Kids & Family",102,"Rotten",50,6,54058,2009,6.2,723,0,0,0,1,0,0,0,1,0,0
"156",156,"A Beautiful Life","NR","Drama",81,"Rotten",0,12,66171,2011,4.3,411,0,0,0,1,0,0,0,1,0,0
"157",157,"Chloe","R","Drama, Mystery & Suspense",96,"Rotten",51,163,3075255,2010,6.3,73955,0,0,0,1,0,0,0,1,0,0
"158",158,"Armed and Dangerous","PG-13","Comedy",88,"Rotten",10,10,15945534,1986,5.7,11824,1,0,0,0,0,0,0,1,0,0
"159",159,"High Life","R","Comedy",80,"Fresh",80,5,1225852,2019,6.5,21,1,0,0,0,0,0,0,0,1,0
"160",160,"Around the World in 80 Days","G","Action & Adventure, Comedy, Drama, Kids & Family",170,"Fresh",69,42,24008137,2004,6.7,27718,1,0,1,1,0,0,0,0,1,0
"161",161,"The Fall","R","Drama, Mystery & Suspense",115,"Rotten",20,5,2266905,2008,7,68,0,0,0,1,0,0,0,1,0,0
"162",162,"The Good Heart","R","Drama",98,"Rotten",30,37,20930,2010,6.8,4759,0,0,0,1,0,0,0,1,0,0
"163",163,"Wonderful World","R","Drama, Romance",95,"Rotten",42,31,9309,2010,6.1,2435,0,0,0,1,0,0,0,1,0,0
"164",164,"Collapse","NR","Documentary, Special Interest",80,"Certified-Fresh",83,41,46964,2009,7.7,7446,0,0,0,0,0,0,1,0,0,1
"165",165,"The Last Song","PG","Drama, Kids & Family, Romance",108,"Rotten",21,120,62950384,2010,6.5,127,0,0,0,1,0,0,0,1,0,0
"166",166,"Babies","PG","Documentary, Special Interest",79,"Fresh",68,116,7320323,2010,6.7,144,0,0,0,0,0,0,1,0,1,0
"167",167,"Lottery Ticket","PG-13","Comedy",95,"Rotten",34,82,24719879,2010,7,9,1,0,0,0,0,0,0,1,0,0
"168",168,"Life as We Know It","PG-13","Comedy, Drama",113,"Rotten",29,151,53374681,2010,6.5,132526,1,0,0,1,0,0,0,1,0,0
"169",169,"Frozen","R","Drama, Horror, Mystery & Suspense",93,"Fresh",63,97,400738009,2013,5.7,605,0,1,0,1,0,0,0,0,1,0
"170",170,"Prodigal Sons","PG","Documentary, Special Interest",86,"Fresh",87,30,73544,2010,7.1,741,0,0,0,0,0,0,1,0,1,0
"171",171,"The Ghost Writer","PG-13","Drama, Mystery & Suspense",129,"Certified-Fresh",84,206,15541549,2010,7.1,88,0,0,0,1,0,0,0,0,0,1
"172",172,"Repo Men","R","Action & Adventure, Science Fiction & Fantasy",111,"Rotten",22,152,13794835,2010,6.3,107044,0,0,1,0,1,0,0,1,0,0
"173",173,"Winter's Bone","R","Drama",99,"Certified-Fresh",94,174,6531503,2010,7.1,143493,0,0,0,1,0,0,0,0,0,1
"174",174,"The Kids Are All Right","R","Comedy, Drama",104,"Certified-Fresh",92,224,20811365,2010,7,130900,1,0,0,1,0,0,0,0,0,1
"175",175,"Lucky","R","Documentary, Special Interest",90,"Fresh",60,5,453507,2005,5.3,786,0,0,0,0,0,0,1,0,1,0
"176",176,"High School","R","Comedy",99,"Rotten",28,54,139034,2012,6.6,74,1,0,0,0,0,0,0,1,0,0
"177",177,"Stolen","R","Drama, Mystery & Suspense",97,"Rotten",0,20,132596,2006,6.1,163,0,0,0,1,0,0,0,1,0,0
"178",178,"Predators","R","Action & Adventure, Horror, Science Fiction & Fantasy",107,"Fresh",64,202,52000688,2010,4.6,8,0,1,1,0,1,0,0,0,1,0
"179",179,"Stonewall Uprising","PG-13","Documentary, Special Interest",82,"Fresh",84,31,128203,2010,7.2,587,0,0,0,0,0,0,1,0,1,0
"180",180,"The Oath","NR","Documentary, Special Interest",90,"Fresh",91,23,42273,2010,7.2,912,0,0,0,0,0,0,1,0,1,0
"181",181,"Arthur","PG","Comedy, Romance",97,"Fresh",88,33,95461682,1981,6.9,28977,1,0,0,0,0,0,0,0,1,0
"182",182,"The Lottery","PG","Documentary, Special Interest",81,"Fresh",64,14,54543,2010,5.9,978,0,0,0,0,0,0,1,0,1,0
"183",183,"Assault on Precinct 13","R","Action & Adventure, Drama, Mystery & Suspense",91,"Certified-Fresh",98,43,20040895,2005,7.3,50764,0,0,1,1,0,0,0,0,0,1
"184",184,"Asylum","PG","Documentary, Horror, Mystery & Suspense, Science Fiction & Fantasy, Special Interest, Romance",88,"Fresh",67,12,375403,2005,6.4,7290,0,1,0,0,1,0,1,0,1,0
"185",185,"Avenging Angel","R","Action & Adventure, Drama, Mystery & Suspense",93,"Rotten",33,6,5622787,1985,4.8,1681,0,0,1,1,0,0,0,1,0,0
"186",186,"The Aviator","PG","Action & Adventure, Drama",98,"Rotten",20,5,102610330,2004,7.1,20,0,0,1,1,0,0,0,1,0,0
"187",187,"The Awakening","R","Horror, Mystery & Suspense",102,"Rotten",0,5,8415112,1980,5.7,75,0,1,0,0,0,0,0,1,0,0
