"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"1005",1022,"1492: Conquest of Paradise","PG-13","Action",145,"Rotten",32,22,7191399,1992,6.4,30650
"1006",1023,"15 Minutes","R","Action",120,"Rotten",32,125,24403552,2001,6.1,50594
"1007",1024,"16 Blocks","PG-13","Action",102,"Rotten",56,162,36895141,2006,6.6,131123
"1008",1025,"16 Years of Alcohol","R","Drama",97,"Fresh",80,15,8046,2005,6.2,1712
"1009",1026,"1984","R","Drama",115,"Fresh",74,27,8430492,1984,6.9,3758
"1010",1027,"20,000 Days on Earth","NR","Documentary",97,"Certified-Fresh",95,87,279558,2014,7.4,11561
"1011",1028,"What Women Want","NR","Comedy",116,"Rotten",0,5,182811707,2000,6.9,20
"1012",1029,"2012","PG-13","Action",158,"Rotten",39,244,166112167,2009,5.8,377141
"1013",1030,"20th Century Women","R","Comedy",118,"Certified-Fresh",88,222,5664764,2016,7.3,45664
"1014",1031,"21 Grams","R","Drama",125,"Certified-Fresh",80,183,16290476,2003,7.6,236927
"1015",1032,"21 Jump Street","R","Comedy",110,"Certified-Fresh",84,224,138447667,2012,7.2,555257
"1016",1033,"2:22","PG-13","Drama",99,"Rotten",22,9,422,2017,5.7,23579
"1017",1034,"22 Jump Street","R","Comedy",112,"Certified-Fresh",85,221,191719337,2014,7,376063
"1018",1035,"24 Hour Party People","R","Comedy",117,"Certified-Fresh",86,100,1184096,2002,7.3,37549
"1019",1036,"My Soul to Take","R","Horror",107,"Rotten",10,63,14744435,2010,4.7,20681
"1020",1037,"25th Hour","R","Drama",134,"Certified-Fresh",78,176,13084595,2002,7.6,178967
"1021",1038,"27 Dresses","PG-13","Comedy",107,"Rotten",41,152,76808654,2008,6.1,164943
"1022",1039,"28 Days","PG-13","Comedy",103,"Rotten",33,85,37170488,2000,6.1,50328
"1023",1040,"28 Hotel Rooms","NR","Drama",82,"Rotten",47,15,18869,2012,5.7,3383
"1024",1041,"2 Days in New York","R","Comedy",95,"Fresh",66,109,633210,2012,6,14636
"1025",1042,"2 Days in Paris","R","Comedy",96,"Certified-Fresh",87,119,4433994,2007,6.7,31361
"1026",1043,"2 Days in the Valley","R","Comedy",107,"Rotten",59,54,11132210,1996,6.5,20477
"1027",1044,"2 Fast 2 Furious","PG-13","Action",108,"Rotten",36,160,127154901,2003,5.9,273789
"1028",1045,"2 Guns","R","Action",109,"Fresh",64,188,75612460,2013,6.7,211832
"1029",1046,"3 Backyards","R","Drama",87,"Fresh",76,17,43073,2011,5,735
"1030",1047,"300","R","Action",117,"Fresh",61,235,210614939,2007,7.6,815938
"1031",1048,"3000 Miles to Graceland","R","Action",125,"Rotten",14,96,15749959,2001,5.9,46974
