"","X","movie_title","content_rating","genre","runtime","tomatometer_status","tomatometer_rating","tomatometer_count","lifetime_gross","year","imdbRating","numVotes"
"1",1,"Please Give","R","Comedy",90,"Certified-Fresh",87,142,4033574,2010,6.6,11359
"2",2,"Dark Water","PG-13","Horror",100,"Fresh",80,15,25473352,2005,5.1,199
"3",3,"The Accused","R","Drama",110,"Fresh",91,22,32078318,1988,6.8,960
"4",4,"The Lost City","R","Drama",143,"Rotten",25,83,2484186,2006,3.6,32
"5",5,"The Bridge of San Luis Rey","PG","Drama",124,"Rotten",4,24,49981,2005,7,89
"6",6,"Criminal","R","Drama",87,"Fresh",69,124,929233,2004,5.3,46
"7",7,"The Adventures of Mark Twain","G","Action",86,"Fresh",80,5,849915,1986,7.1,1239
"8",8,"Deep Blue","G","Documentary",90,"Fresh",67,52,132261,2005,2.9,101
"9",9,"Bandwagon","R","Comedy",103,"Fresh",80,5,44544,1997,7,655
"10",10,"Whore","R","Drama",77,"Rotten",0,6,1008404,1991,5.6,3884
"11",11,"Wild Side","NR","Drama",94,"Fresh",63,16,15355,2005,5.6,2281
"12",12,"A Tale of Two Pizzas","PG","Comedy",82,"Rotten",38,8,14831,2005,5.6,163
"13",13,"Running Scared","R","Action",121,"Rotten",41,131,38500726,1986,7.3,33
"14",14,"Going the Distance","R","Comedy",93,"Rotten",0,5,17804299,2010,7.3,33
"15",15,"Ultraviolet","PG-13","Horror",88,"Rotten",8,83,18535812,2006,5,169
"16",16,"Home of the Brave","R","Action",75,"Fresh",93,15,51708,2006,7,733
"17",17,"Malevolence","R","Horror",90,"Rotten",33,18,127287,2004,5.9,48
"18",18,"Eternal","R","Horror",108,"Rotten",21,34,28089,2005,4.8,1453
"19",19,"The Matador","R","Comedy",97,"Certified-Fresh",75,156,12594698,2005,6.7,45218
"20",20,"Smile","PG-13","Comedy",107,"Rotten",15,13,32833,2005,7.1,2372
"21",21,"Saint Ralph","PG-13","Comedy",98,"Fresh",64,69,489389,2005,7.4,6099
"22",22,"The Baxter","PG-13","Comedy",91,"Rotten",32,75,181872,2005,6.5,4833
"23",23,"Oliver Twist","PG-13","Drama",130,"Fresh",61,143,2080321,2005,5.2,38
"24",24,"G","R","Drama",96,"Rotten",24,29,3020784,2005,5.2,1434
"25",25,"Alfie","PG","Comedy",114,"Fresh",96,27,13399812,2004,7,14804
"26",26,"The Second Chance","PG-13","Drama",104,"Rotten",44,16,463542,2006,6.4,1307
"27",27,"Moonlight","R","Drama",90,"Fresh",60,10,51570,2006,6.9,20
"28",28,"Aliens","R","Horror",137,"Certified-Fresh",97,76,85160248,1986,8.4,711979
"29",29,"When Do We Eat?","R","Comedy",87,"Rotten",42,38,431513,2006,6.1,15
"30",30,"The Mostly Unfabulous Social Life of Ethan Green","R","Comedy",88,"Rotten",30,27,153122,2006,6,2044
"31",31,"Dirty","R","Drama",97,"Rotten",21,28,274245,2006,5.8,134
"32",32,"Stay Alive","PG-13","Horror",85,"Rotten",10,59,23086480,2006,5,32611
"33",33,"All of Me","PG","Comedy",93,"Certified-Fresh",85,41,36403064,1984,5.9,113
"34",34,"Dreamland","PG-13","Drama",88,"Fresh",67,15,6383,2006,7.2,8
"35",35,"All the King's Men","PG","Drama",109,"Certified-Fresh",95,42,7221458,2006,7.4,15209
"36",36,"Street Fight","NR","Documentary",86,"Fresh",100,22,4779,2006,7.9,2067
"37",37,"The Motel","NR","Comedy",76,"Fresh",88,32,51540,2006,6.6,1402
"38",38,"Requiem","NR","Horror",92,"Fresh",86,36,9600,2006,7.1,167
"39",39,"Bon Cop, Bad Cop","R","Comedy",116,"Fresh",78,9,12665721,2006,6.7,12740
"40",40,"Amazing Grace","PG","Drama",116,"Fresh",67,126,21250683,2007,5.7,255
"41",41,"The Silence","R","Action",104,"Rotten",50,6,100214,2013,6.8,46
"42",42,"Cocaine Cowboys","R","Documentary",116,"Fresh",69,51,150056,2006,4.1,338
"43",43,"Gone","R","Horror",88,"Rotten",54,13,11682205,2012,6.8,1413
"44",44,"The Situation","R","Drama",106,"Rotten",35,48,48896,2007,6.3,870
"45",45,"It's a Boy Girl Thing","PG-13","Comedy",95,"Fresh",67,9,848,2007,6.2,41386
"46",46,"Slipstream","R","Comedy",97,"Rotten",25,40,8965,2007,6.7,43
"47",47,"Interview","R","Drama",84,"Rotten",58,125,416951,2007,7.9,256
"48",48,"American Anthem","PG-13","Action",102,"Rotten",0,16,4845724,1986,4.8,1668
"49",49,"The Ten","R","Comedy",99,"Rotten",35,82,769726,2007,4.9,16719
"50",50,"The Happening","R","Drama",89,"Rotten",17,183,64506874,2008,5.2,779
"51",51,"Spiral","PG-13","Drama",90,"Rotten",55,11,8190,2018,6.3,3792
"52",52,"Alexandra","NR","Drama",95,"Certified-Fresh",88,59,128222,2008,5.1,12
"53",53,"Pathology","R","Drama",93,"Rotten",45,22,109846,2008,5.9,32492
"54",54,"Deep Water","PG","Documentary",93,"Certified-Fresh",96,55,271143,2007,7.8,3172
"55",55,"Beverly Hills Chihuahua","PG","Comedy",91,"Rotten",40,99,94514402,2008,3.9,24529
"56",56,"Fireflies in the Garden","R","Drama",98,"Rotten",22,54,70600,2011,6.4,13049
"57",57,"The Eye","PG-13","Horror",97,"Rotten",21,80,31418697,2008,5.4,53814
"58",58,"Day of the Dead","R","Horror",87,"Rotten",13,8,5000000,1985,7.1,69403
"59",59,"My Best Friend's Girl","R","Comedy",103,"Rotten",14,59,19219250,2008,5.8,44505
"60",60,"The Lucky Ones","R","Comedy",115,"Rotten",37,75,266967,2008,6.6,25
"61",61,"Closing Escrow","PG","Comedy",95,"Rotten",54,13,8719,2007,5.3,526
"62",62,"Whiteout","R","Action",101,"Rotten",7,116,10275638,2009,5.5,39014
"63",63,"Randy and the Mob","PG","Comedy",99,"Rotten",56,9,45410,2007,5.8,394
"64",64,"Black Irish","R","Drama",94,"Rotten",31,13,6900,2007,6.9,2581
"65",65,"King Corn","NR","Documentary",90,"Fresh",96,26,105422,2007,7,2031
"66",66,"Darfur Now","PG","Drama",99,"Fresh",73,59,109107,2007,6.7,762
"67",67,"Rails & Ties","PG-13","Drama",101,"Rotten",34,47,22136,2007,6.7,4162
"68",68,"Mr. Untouchable","R","Documentary",92,"Fresh",73,26,104678,2007,6.6,929
"69",69,"House","R","Horror",88,"Rotten",0,13,19444631,1986,6.1,27202
"70",70,"Canvas","PG-13","Drama",101,"Fresh",78,27,35630,2007,4.3,139
"71",71,"Skid Row","R","Documentary",80,"Fresh",83,6,6627,2007,6.4,313
"72",72,"Saawariya","PG","Drama",146,"Rotten",38,21,885574,2007,5.2,7951
"73",73,"Aaja Nachle","NR","Drama",147,"Fresh",67,6,484108,2007,6.2,3296
"74",74,"What Happens in Vegas","PG-13","Comedy",99,"Rotten",26,133,80277646,2008,6.1,177379
"75",75,"Appaloosa","R","Action",116,"Certified-Fresh",76,164,20211394,2008,6.7,61615
"76",76,"Good","R","Drama",96,"Rotten",32,71,27276,2008,6.2,7456
"77",77,"The Visitor","PG-13","Drama",103,"Certified-Fresh",89,120,9427089,2008,7.6,43315
"78",78,"Married Life","PG-13","Comedy",90,"Rotten",54,118,1507990,2008,6.2,9442
"79",79,"Badland","R","Drama",165,"Rotten",16,19,1924,2007,6.1,487
"80",80,"The Oxford Murders","R","Horror",110,"Rotten",17,12,4803,2010,6.1,29390
"81",81,"Untraceable","R","Horror",101,"Rotten",16,148,28687835,2008,6.2,50828
"82",82,"The Informers","R","Drama",98,"Rotten",12,105,300000,2009,6.9,360
"83",83,"Meeting Resistance","NR","Documentary",84,"Fresh",82,22,20616,2007,7.7,88
"84",84,"The Freshman","PG","Comedy",102,"Certified-Fresh",94,49,21460601,1990,7.5,5612
"85",85,"Kenny","PG-13","Comedy",100,"Fresh",100,25,69220,2008,6.2,255
"86",86,"The Rocker","PG-13","Comedy",102,"Rotten",41,123,6409528,2008,6.2,38932
"87",88,"Land of the Lost","PG-13","Comedy",102,"Rotten",26,190,49438370,2009,5.3,70979
"88",89,"Look","R","Comedy",98,"Fresh",60,35,16136,2007,6.6,1818
"89",90,"And God Created Woman","R","Comedy",98,"Rotten",38,8,717376,1988,4.3,1957
"90",91,"The Box","PG-13","Horror",113,"Rotten",44,155,15051977,2009,6.8,35
"91",92,"Undoing","R","Drama",90,"Rotten",31,13,44999,2008,4.2,226
"92",93,"21","PG-13","Drama",122,"Rotten",35,170,81159365,2008,7.3,89
"93",94,"Ben X","NR","Drama",93,"Fresh",68,38,1601,2008,7.3,18973
"94",95,"Body of Lies","R","Drama",128,"Rotten",55,213,39394666,2008,7,229117
"95",96,"Passengers","PG-13","Drama",92,"Rotten",19,31,292437,2008,5.8,37462
"96",97,"The Grand","R","Comedy",104,"Rotten",40,43,115879,2008,5.9,5854
"97",98,"The Hammer","R","Comedy",93,"Certified-Fresh",80,40,443591,2008,7.1,6071
"98",99,"Shutter","PG-13","Horror",85,"Rotten",9,66,25928550,2008,7,45271
"99",100,"Priest","PG-13","Horror",87,"Rotten",15,100,29136626,2011,7.1,10486
"100",101,"The Escapist","R","Art House",103,"Fresh",64,45,13439,2009,4.9,30
"101",102,"Sugar","R","Drama",118,"Certified-Fresh",92,137,1082124,2009,5.7,1989
"102",103,"Quid Pro Quo","R","Drama",81,"Fresh",61,36,11864,2008,6.1,2488
"103",104,"Red","R","Drama",95,"Fresh",70,27,90380162,2010,6.8,84
"104",105,"The Road","R","Drama",110,"Certified-Fresh",73,215,8117000,2009,7.2,239214
"105",106,"G-Force","PG","Comedy",88,"Rotten",22,127,119436770,2009,5.1,46866
"106",107,"The Other Man","R","Drama",90,"Rotten",15,39,149528,2009,6.8,130
"107",108,"The Duchess","PG-13","Drama",109,"Fresh",62,170,13848978,2008,6.9,83516
"108",109,"Public Enemies","R","Action",140,"Fresh",68,278,97104620,2009,7.2,28
"109",111,"Angel Heart","R","Drama",113,"Fresh",79,29,17185632,1987,7.2,88622
"110",112,"Old Dogs","PG","Comedy",88,"Rotten",5,110,49492060,2009,5.3,38171
"111",113,"Surrogates","PG-13","Comedy",88,"Rotten",37,116,38577772,2009,6.3,175411
"112",114,"The Promotion","R","Comedy",86,"Rotten",53,77,408709,2008,5.6,18941
"113",115,"Soul Men","R","Comedy",100,"Rotten",46,98,12082391,2008,6.4,11106
"114",116,"Igor","PG","Comedy",86,"Rotten",39,93,19528602,2008,5.9,23545
"115",117,"The Stone Angel","R","Drama",115,"Rotten",44,25,459166,2008,6.1,1794
"116",118,"Alvin and the Chipmunks: The Squeakquel","PG","Comedy",89,"Rotten",20,84,219614612,2009,4.5,49442
"117",119,"Ripple Effect","R","Drama",83,"Rotten",29,7,14059,2008,4.9,750
"118",120,"Harold","PG-13","Comedy",94,"Rotten",31,16,13229,2008,5.4,1949
"119",121,"Push","PG-13","Science Fiction",111,"Rotten",23,127,31811527,2009,4.4,604
"120",122,"Bitch Slap","R","Action",104,"Rotten",29,17,17365,2010,4.4,13833
"121",123,"Forever Strong","PG-13","Drama",112,"Rotten",29,21,719556,2008,7.1,10724
"122",124,"Chocolate","R","Action",110,"Fresh",74,34,14845,2009,6.8,37
"123",125,"Fireproof","PG","Drama",122,"Rotten",38,21,33456317,2008,6.4,22968
"124",126,"Dostana","R","Comedy",145,"Fresh",87,15,1243910,2008,6.4,1010
"125",127,"The Garden","NR","Documentary",80,"Fresh",79,24,26931,2009,6.4,986
"126",128,"Leaves of Grass","R","Comedy",104,"Fresh",61,38,70066,2010,6.4,27288
"127",129,"The Proposal","PG-13","Comedy",108,"Rotten",45,188,163958031,2009,5.3,732
"128",130,"Gigantic","R","Comedy",99,"Rotten",36,83,102704,2009,6,9735
"129",131,"Fuel","NR","Documentary",111,"Fresh",72,18,32465,2009,8,60
"130",133,"Anna Karenina","NR","Drama",95,"Fresh",93,14,12816367,2012,6.3,23
"131",134,"Orphan","R","Horror",123,"Rotten",56,154,41596251,2009,7.2,28
"132",135,"My Sister's Keeper","PG-13","Drama",108,"Rotten",48,137,49200230,2009,6,431
"133",136,"The Hangover","R","Comedy",99,"Certified-Fresh",78,239,277322503,2009,7.7,780035
"134",137,"The Stepfather","PG-13","Horror",101,"Rotten",11,63,2488740,1987,6.7,16104
"135",138,"Season of the Witch","PG-13","Action",95,"Rotten",11,124,24827228,2011,5.4,94546
"136",140,"Miss March","R","Comedy",89,"Rotten",5,80,4543320,2009,5,21542
"137",141,"An American Affair","R","Drama",93,"Rotten",16,37,28044,2009,3.4,215
"138",142,"Endgame","PG-13","Drama",109,"Fresh",71,7,9645,2009,7.5,320
"139",143,"The Objective","NR","Horror",90,"Rotten",33,12,95,2009,5.4,8155
"140",144,"Happy Tears","R","Comedy",96,"Rotten",27,33,22464,2010,5.1,1559
"141",145,"The Missing Person","NR","Comedy",95,"Fresh",64,25,17896,2009,6,1614
"142",146,"Crude","NR","Documentary",104,"Certified-Fresh",95,66,170295,2009,6,67
"143",147,"The Messenger","R","Drama",112,"Certified-Fresh",90,162,1109660,2009,4.4,200
"144",148,"Outrage","R","Documentary",90,"Certified-Fresh",77,60,287198,2009,6.8,1511
"145",149,"New World Order","NR","Documentary",85,"Rotten",56,9,20205,2016,5.7,678
"146",150,"April Fool's Day","R","Horror",89,"Rotten",50,20,12947763,1986,6.1,16824
"147",151,"Blood: The Last Vampire","R","Horror",89,"Rotten",25,53,257412,2009,6.6,12748
"148",152,"Shrink","R","Comedy",104,"Rotten",27,64,189621,2009,6.6,18880
"149",153,"Last Ride","PG-13","Drama",100,"Fresh",93,28,6853,2012,6.4,48
"150",154,"The Canyon","R","Drama",102,"Rotten",27,15,1785,2009,5.8,4709
"151",155,"Broken Hill","PG","Drama",102,"Rotten",50,6,54058,2009,6.2,723
"152",156,"A Beautiful Life","NR","Drama",81,"Rotten",0,12,66171,2011,4.3,411
"153",157,"Chloe","R","Drama",96,"Rotten",51,163,3075255,2010,6.3,73955
"154",158,"Armed and Dangerous","PG-13","Comedy",88,"Rotten",10,10,15945534,1986,5.7,11824
"155",159,"High Life","R","Comedy",80,"Fresh",80,5,1225852,2019,6.5,21
"156",160,"Around the World in 80 Days","G","Comedy",170,"Fresh",69,42,24008137,2004,6.7,27718
"157",161,"The Fall","R","Drama",115,"Rotten",20,5,2266905,2008,7,68
"158",162,"The Good Heart","R","Drama",98,"Rotten",30,37,20930,2010,6.8,4759
"159",163,"Wonderful World","R","Drama",95,"Rotten",42,31,9309,2010,6.1,2435
"160",164,"Collapse","NR","Documentary",80,"Certified-Fresh",83,41,46964,2009,7.7,7446
"161",165,"The Last Song","PG","Drama",108,"Rotten",21,120,62950384,2010,6.5,127
"162",166,"Babies","PG","Documentary",79,"Fresh",68,116,7320323,2010,6.7,144
"163",167,"Lottery Ticket","PG-13","Comedy",95,"Rotten",34,82,24719879,2010,7,9
"164",168,"Life as We Know It","PG-13","Comedy",113,"Rotten",29,151,53374681,2010,6.5,132526
"165",169,"Frozen","R","Horror",93,"Fresh",63,97,400738009,2013,5.7,605
"166",170,"Prodigal Sons","PG","Documentary",86,"Fresh",87,30,73544,2010,7.1,741
"167",171,"The Ghost Writer","PG-13","Drama",129,"Certified-Fresh",84,206,15541549,2010,7.1,88
"168",172,"Repo Men","R","Action",111,"Rotten",22,152,13794835,2010,6.3,107044
"169",173,"Winter's Bone","R","Drama",99,"Certified-Fresh",94,174,6531503,2010,7.1,143493
"170",174,"The Kids Are All Right","R","Comedy",104,"Certified-Fresh",92,224,20811365,2010,7,130900
"171",175,"Lucky","R","Documentary",90,"Fresh",60,5,453507,2005,5.3,786
"172",176,"High School","R","Comedy",99,"Rotten",28,54,139034,2012,6.6,74
"173",177,"Stolen","R","Drama",97,"Rotten",0,20,132596,2006,6.1,163
"174",178,"Predators","R","Horror",107,"Fresh",64,202,52000688,2010,4.6,8
"175",179,"Stonewall Uprising","PG-13","Documentary",82,"Fresh",84,31,128203,2010,7.2,587
"176",180,"The Oath","NR","Documentary",90,"Fresh",91,23,42273,2010,7.2,912
"177",181,"Arthur","PG","Comedy",97,"Fresh",88,33,95461682,1981,6.9,28977
"178",182,"The Lottery","PG","Documentary",81,"Fresh",64,14,54543,2010,5.9,978
"179",183,"Assault on Precinct 13","R","Action",91,"Certified-Fresh",98,43,20040895,2005,7.3,50764
"180",184,"Asylum","PG","Horror",88,"Fresh",67,12,375403,2005,6.4,7290
"181",185,"Avenging Angel","R","Action",93,"Rotten",33,6,5622787,1985,4.8,1681
"182",186,"The Aviator","PG","Action",98,"Rotten",20,5,102610330,2004,7.1,20
"183",187,"The Awakening","R","Horror",102,"Rotten",0,5,8415112,1980,5.7,75
"184",188,"Bad Company","PG","Action",93,"Fresh",92,12,30160161,2002,6.3,128
"185",189,"The Best of Times","PG-13","Comedy",104,"Rotten",31,13,7790931,1986,5.3,275
"186",190,"Betrayed","R","Action",127,"Rotten",42,12,25816139,1988,6.1,1211
"187",191,"Big Business","PG","Comedy",97,"Rotten",44,18,40150487,1988,5.4,33
"188",192,"Black Rain","R","Action",125,"Rotten",50,22,46212055,1989,6.6,55246
"189",193,"Black Widow","R","Drama",102,"Rotten",50,22,25205460,1987,6.7,2930
"190",194,"Blind Date","PG-13","Comedy",93,"Rotten",21,24,39321715,1987,6,232
"191",195,"Blood Feast","NR","Horror",58,"Rotten",38,13,8708,2018,5,6777
"192",196,"Bluebeard","G","Horror",73,"Fresh",100,12,43144,2017,5.9,1949
"193",197,"The Border","R","Action",107,"Fresh",80,10,6118683,1982,4.6,344
"194",198,"Born Yesterday","NR","Comedy",103,"Fresh",97,34,17952857,1993,7.5,11451
"195",199,"The Bounty","PG","Action",132,"Fresh",74,19,8613462,1984,7,27571
"196",200,"Brainstorm","PG","Science Fiction",106,"Rotten",55,20,10219460,1983,6.6,648
"197",201,"Brewster's Millions","PG","Comedy",97,"Rotten",35,23,40833132,1985,6.6,50
"198",202,"Bug","PG","Horror",100,"Rotten",33,12,7025810,2007,5.2,2473
"199",203,"Burglar","R","Comedy",102,"Rotten",27,11,16337355,1987,5.1,4463
"200",204,"Cape Fear","NR","Drama",105,"Fresh",100,22,79091969,1991,7.7,29442
"201",205,"Carny","R","Horror",107,"Rotten",50,6,1817720,1980,6.4,2205
"202",206,"Casino Royale","G","Comedy",131,"Rotten",25,40,167445960,2006,5,30422
"203",207,"Cat People","R","Horror",73,"Certified-Fresh",95,56,7000000,1982,7.2,23027
"204",208,"Champion","NR","Drama",99,"Fresh",93,14,175232,2017,7.4,4376
"205",209,"The Chase","NR","Drama",135,"Fresh",89,9,7924955,1994,6.5,2130
"206",210,"Checking Out","R","Comedy",95,"Rotten",20,5,30877,1989,4.8,459
"207",211,"Children of the Corn","R","Horror",93,"Rotten",35,26,14568989,1984,5.6,52747
"208",212,"A Christmas Story","PG","Comedy",93,"Certified-Fresh",89,57,20605209,1983,7.9,147600
"209",213,"College","NR","Comedy",65,"Fresh",89,19,4694636,2008,7,4932
"210",214,"Colors","R","Action",120,"Fresh",82,34,46616067,1988,6.7,27135
"211",215,"Commando","R","Action",90,"Fresh",71,34,35100000,1985,6.7,161282
"212",216,"Crossroads","R","Drama",98,"Fresh",73,15,37191304,2002,6.7,1467
"213",217,"Dangerous Liaisons","R","Drama",120,"Fresh",93,30,34670720,1988,7.6,70503
"214",218,"Dead Heat","R","Comedy",88,"Rotten",11,9,3588626,1988,6,8280
"215",219,"Distant Thunder","R","Drama",114,"Rotten",43,7,156188,1988,5.7,754
"216",220,"Dolls","R","Horror",77,"Fresh",60,15,4067,2004,6.3,11404
"217",221,"How the Grinch Stole Christmas","NR","Comedy",NA,"Fresh",100,25,260044825,2000,6.2,244345
"218",222,"Dragnet","PG-13","Comedy",106,"Rotten",51,35,57387516,1987,6.5,41
"219",223,"The Dream Team","PG-13","Comedy",113,"Rotten",57,14,28890240,1989,6.5,15512
"220",224,"Dressed to Kill","R","Horror",105,"Certified-Fresh",80,50,31899000,1980,6.7,64
"221",225,"Dune","PG-13","Science Fiction",137,"Rotten",53,49,30925690,1984,6.3,161928
"222",226,"Easy Money","R","Comedy",95,"Fresh",60,10,29309766,1983,5.1,16
"223",227,"The Elephant Man","PG","Drama",125,"Certified-Fresh",92,53,26010864,1980,8.2,240423
"224",228,"Escape from New York","R","Action",100,"Certified-Fresh",86,64,25244626,1981,7.1,142478
"225",229,"Eyewitness","R","Horror",103,"Fresh",75,12,6400000,1981,6.2,281
"226",230,"The Fan","R","Drama",95,"Rotten",38,16,18626419,1996,6.6,673
"227",231,"Fandango","PG","Comedy",91,"Rotten",50,6,91666,1985,6.5,13
"228",232,"Fatal Attraction","R","Drama",119,"Certified-Fresh",76,54,156645693,1987,6.9,86932
"229",233,"Father of the Bride","G","Comedy",93,"Fresh",90,31,89325780,1991,7.1,11584
"230",234,"Fire and Ice","PG","Action",81,"Fresh",60,5,760883,1983,6.5,11030
"231",235,"Flash Gordon","PG","Comedy",110,"Certified-Fresh",83,48,27107960,1980,7,2447
"232",236,"Flashback","R","Comedy",108,"Rotten",43,14,6488114,1990,6.2,5475
"233",237,"Flipper","G","Action",90,"Rotten",40,5,20080020,1996,6.1,1874
"234",238,"The Fly","NR","Horror",94,"Certified-Fresh",95,40,40456565,1986,7.1,23459
"235",239,"Footloose","PG","Drama",107,"Rotten",52,42,80035402,1984,6.6,81062
"236",240,"The Four Feathers","NR","Action",115,"Fresh",100,9,18306166,2002,4.6,25
"237",241,"Frantic","R","Action",120,"Certified-Fresh",76,42,17637950,1988,6.8,53986
"238",242,"Freaky Friday","G","Comedy",95,"Fresh",70,23,110230332,2003,6.3,13089
"239",243,"Fright Night","R","Horror",106,"Fresh",92,37,24922237,1985,7,70293
"240",244,"The Fugitive","NR","Drama",104,"Fresh",86,7,183875760,1993,5.1,19
"241",245,"Fun with Dick and Jane","PG","Comedy",95,"Rotten",50,14,110332737,2005,6.4,4540
"242",246,"Funny Farm","PG","Comedy",103,"Fresh",65,20,25537221,1988,6.2,23346
"243",247,"Gallipoli","PG","Drama",110,"Certified-Fresh",91,45,5732587,1981,7.4,39866
"244",248,"The Gambler","R","Drama",109,"Fresh",78,9,33680992,2014,7.1,5602
"245",249,"Gloria","PG","Comedy",121,"Fresh",93,27,4197729,1999,6.5,36
"246",250,"Glory","R","Drama",122,"Certified-Fresh",93,44,26979166,1989,5.7,205
"247",251,"Gone in 60 Seconds","PG","Action",105,"Rotten",43,14,101648571,2000,6.4,9169
"248",252,"Gulliver's Travels","NR","Comedy",74,"Fresh",69,13,42779261,2010,6.6,4422
"249",253,"Gung Ho","PG-13","Comedy",111,"Rotten",33,21,36611610,1986,6.3,13184
"250",254,"The Hand","R","Horror",104,"Rotten",11,9,2447576,1981,4.9,297
"251",255,"The Haunting","G","Horror",112,"Certified-Fresh",88,41,91411151,1999,7.4,39586
"252",256,"Heat","R","Action",102,"Rotten",17,6,67436818,1995,6.1,1826
"253",257,"Heaven","PG-13","Documentary",80,"Fresh",67,6,784399,2002,6.7,281
"254",258,"The Hills Have Eyes","R","Horror",83,"Fresh",65,26,41778863,2006,6.3,35340
"255",259,"The Hit","R","Comedy",98,"Fresh",86,14,876775,1985,7,8534
"256",260,"Hot Pursuit","PG-13","Comedy",92,"Rotten",0,5,34580201,2015,5.7,3761
"257",261,"100 Bloody Acres","NR","Comedy",91,"Fresh",79,38,6388,2013,6,4295
"258",262,"House of Wax","PG","Horror",88,"Certified-Fresh",95,42,32064800,2005,7,18381
"259",263,"The Hunchback of Notre Dame","PG","Horror",93,"Fresh",92,24,100138851,1996,7.8,11473
"260",264,"The Hunter","PG","Action",97,"Rotten",50,12,16274150,1980,6.2,6348
"261",265,"I, the Jury","R","Action",110,"Rotten",40,10,1515578,1982,6.1,438
"262",266,"The Importance of Being Earnest","PG","Comedy",95,"Fresh",88,24,8384929,2002,7.5,5771
"263",267,"Impulse","R","Action",108,"Rotten",25,8,2773433,1984,6,228
"264",268,"The Island","R","Horror",114,"Rotten",40,5,35818913,2005,5.3,4426
"265",269,"The Island of Dr. Moreau","PG","Horror",98,"Rotten",56,25,27663982,1996,5.9,6543
"266",270,"It","NR","Comedy",72,"Fresh",87,15,327481748,2017,7.2,3262
"267",272,"The Jazz Singer","NR","Drama",97,"Fresh",75,28,27118000,1980,6.4,10117
"268",273,"Kansas","R","Action",110,"Rotten",20,10,2432536,1988,5.4,1179
"269",274,"Kickboxer","R","Action",105,"Rotten",36,11,14697005,1989,6.4,56099
"270",275,"King Kong","G","Horror",100,"Certified-Fresh",98,64,218080025,2005,7.9,85661
"271",276,"The King of Comedy","PG","Comedy",101,"Certified-Fresh",89,62,2536242,1983,7.8,103697
"272",277,"King Solomon's Mines","G","Action",102,"Fresh",92,12,15057465,1985,6.3,1297
"273",278,"The Ladykillers","NR","Comedy",90,"Fresh",100,26,39799191,2004,7.6,29470
"274",279,"Legend","PG","Drama",89,"Rotten",38,40,15502112,1986,6.3,66546
"275",280,"Little Shop of Horrors","PG-13","Comedy",93,"Certified-Fresh",90,51,38982260,1986,7.1,76308
"276",281,"Lock Up","R","Action",103,"Rotten",23,13,22099847,1989,6.4,43437
"277",282,"The Longest Yard","R","Comedy",121,"Fresh",79,34,158119460,2005,7.1,19429
"278",283,"Lovesick","PG","Comedy",95,"Rotten",40,5,10171304,1983,5.2,856
"279",284,"Made in Heaven","PG","Comedy",102,"Rotten",50,12,4572845,1987,5.3,130
"280",285,"The Manchurian Candidate","PG-13","Drama",126,"Certified-Fresh",97,59,65955630,2004,7.9,75727
"281",286,"The Manhattan Project","PG-13","Action",117,"Rotten",50,18,3900000,1986,6.1,6273
"282",287,"Manhunter","R","Action",119,"Certified-Fresh",93,42,8620929,1986,7.1,93
"283",288,"Mannequin","PG","Comedy",89,"Rotten",21,39,42721196,1987,7,23
"284",289,"Masquerade","R","Horror",90,"Rotten",50,16,15855828,1988,7.8,17
"285",290,"The Mechanic","R","Action",100,"Rotten",25,8,29121498,2011,6.8,14273
"286",291,"A Midsummer Night's Dream","NR","Comedy",132,"Fresh",91,11,16071990,1999,6.8,3554
"287",292,"Mighty Joe Young","PG","Action",94,"Fresh",95,20,50632037,1998,7,5332
"288",293,"Missing in Action","R","Action",102,"Rotten",19,16,22812411,1984,5.4,15222
"289",294,"The Mission","PG","Drama",128,"Fresh",64,25,17218023,1986,7.4,61622
"290",295,"Morning Glory","NR","Drama",74,"Fresh",64,11,31011732,2010,6.4,3041
"291",296,"Mr. & Mrs. Smith","NR","Comedy",95,"Fresh",67,21,186336279,2005,6.3,10573
"292",297,"Mrs. Soffel","PG-13","Drama",112,"Rotten",36,11,4385312,1984,6.1,3319
"293",298,"The Mummy","NR","Horror",72,"Certified-Fresh",88,42,155385488,1999,7,26803
"294",299,"Near Dark","R","Horror",95,"Certified-Fresh",88,50,3369307,1987,6.9,39639
"295",300,"Neighbors","R","Comedy",94,"Rotten",57,7,150157400,2014,5.5,8106
"296",301,"Next of Kin","R","Action",108,"Rotten",56,9,15942628,1989,6.3,3240
"297",302,"Night of the Living Dead","NR","Horror",96,"Certified-Fresh",97,70,5835247,1990,7.8,128285
"298",303,"Nighthawks","R","Action",99,"Fresh",70,20,14905359,1981,6.2,620
"299",304,"No Man's Land","R","Action",106,"Rotten",50,6,1012153,2001,6.5,47
"300",305,"No Mercy","R","Action",107,"Rotten",27,15,12303904,1986,5.7,7708
"301",306,"No Way Out","R","Action",113,"Certified-Fresh",91,45,35509515,1987,7.4,5654
"302",307,"Only When I Laugh","R","Comedy",120,"Rotten",57,7,25524778,1981,6.4,1501
"303",308,"The Out-of-Towners","PG-13","Comedy",97,"Fresh",63,16,28544120,1999,5.5,14182
"304",309,"The Parent Trap","G","Comedy",124,"Fresh",90,20,66308518,1998,7.2,21857
"305",310,"Peter Pan","G","Science Fiction",76,"Fresh",81,36,48462608,2003,7.1,1089
