"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"1","Please Give",4033574,"R",2010,"87",6.6,87,11359,142
"2","Dark Water",25473352,"PG-13",2005,"92",5.1,80,199,15
"3","The Accused",32078318,"R",1988,"101",6.8,91,960,22
"4","The Lost City",2484186,"R",2006,"300",3.6,25,32,83
"5","The Bridge of San Luis Rey",49981,"PG",2005,"86",7,4,89,24
"6","Criminal",929233,"R",2004,"87",5.3,69,46,124
"7","The Adventures of Mark Twain",849915,"G",1986,"130",7.1,80,1239,5
"8","Deep Blue",132261,"G",2005,"\N",2.9,67,101,52
"9","Bandwagon",44544,"R",1997,"103",7,80,655,5
"10","Whore",1008404,"R",1991,"85",5.6,0,3884,6
"11","Wild Side",15355,"NR",2005,"96",5.6,63,2281,16
"12","A Tale of Two Pizzas",14831,"PG",2005,"82",5.6,38,163,8
"13","Running Scared",38500726,"R",1986,"98",7.3,41,33,131
"14","Going the Distance",17804299,"R",2010,"90",7.3,0,33,5
"15","Ultraviolet",18535812,"PG-13",2006,"80",5,8,169,83
"16","Home of the Brave",51708,"R",2006,"88",7,93,733,15
"17","Malevolence",127287,"R",2004,"96",5.9,33,48,18
"18","Eternal",28089,"R",2005,"107",4.8,21,1453,34
"19","The Matador",12594698,"R",2005,"96",6.7,75,45218,156
"20","Smile",32833,"PG-13",2005,"113",7.1,15,2372,13
"21","Saint Ralph",489389,"PG-13",2005,"98",7.4,64,6099,69
"22","The Baxter",181872,"PG-13",2005,"91",6.5,32,4833,75
"23","Oliver Twist",2080321,"PG-13",2005,"\N",5.2,61,38,143
"24","G",3020784,"R",2005,"109",5.2,24,1434,29
"25","Alfie",13399812,"PG",2004,"114",7,96,14804,27
"26","The Second Chance",463542,"PG-13",2006,"102",6.4,44,1307,16
"27","Moonlight",51570,"R",2006,"96",6.9,60,20,10
"28","Aliens",85160248,"R",1986,"137",8.4,97,711979,76
"29","When Do We Eat?",431513,"R",2006,"50",6.1,42,15,38
"30","The Mostly Unfabulous Social Life of Ethan Green",153122,"R",2006,"88",6,30,2044,27
"31","Dirty",274245,"R",2006,"94",5.8,21,134,28
"32","Stay Alive",23086480,"PG-13",2006,"85",5,10,32611,59
"33","All of Me",36403064,"PG",1984,"70",5.9,85,113,41
"34","Dreamland",6383,"PG-13",2006,"71",7.2,67,8,15
"35","All the King's Men",7221458,"PG",2006,"110",7.4,95,15209,42
"36","Street Fight",4779,"NR",2006,"83",7.9,100,2067,22
"37","The Motel",51540,"NR",2006,"75",6.6,88,1402,32
"38","Requiem",9600,"NR",2006,"103",7.1,86,167,36
"39","Bon Cop Bad Cop",12665721,"R",2006,"117",6.7,78,12740,9
"40","Amazing Grace",21250683,"PG",2007,"99",5.7,67,255,126
"41","The Silence",100214,"R",2013,"74",6.8,50,46,6
"42","Cocaine Cowboys",150056,"R",2006,"87",4.1,69,338,51
"43","Gone",11682205,"R",2012,"80",6.8,54,1413,13
"44","The Situation",48896,"R",2007,"111",6.3,35,870,48
"45","It's a Boy Girl Thing",848,"PG-13",2007,"95",6.2,67,41386,9
"46","Slipstream",8965,"R",2007,"93",6.7,25,43,40
"47","Interview",416951,"R",2007,"101",7.9,58,256,125
"48","American Anthem",4845724,"PG-13",1986,"102",4.8,0,1668,16
"49","The Ten",769726,"R",2007,"96",4.9,35,16719,82
"50","The Happening",64506874,"R",2008,"101",5.2,17,779,183
"51","Spiral",8190,"PG-13",2018,"91",6.3,55,3792,11
"52","Alexandra",128222,"NR",2008,"\N",5.1,88,12,59
"53","Pathology",109846,"R",2008,"95",5.9,45,32492,22
"54","Deep Water",271143,"PG",2007,"93",7.8,96,3172,55
"55","Beverly Hills Chihuahua",94514402,"PG",2008,"91",3.9,40,24529,99
"56","Fireflies in the Garden",70600,"R",2011,"99",6.4,22,13049,54
"57","The Eye",31418697,"PG-13",2008,"98",5.4,21,53814,80
"58","Day of the Dead",5000000,"R",1985,"101",7.1,13,69403,8
"59","My Best Friend's Girl",19219250,"R",2008,"101",5.8,14,44505,59
"60","The Lucky Ones",266967,"R",2008,"78",6.6,37,25,75
"61","Closing Escrow",8719,"PG",2007,"93",5.3,54,526,13
"62","Whiteout",10275638,"R",2009,"101",5.5,7,39014,116
"63","Randy and the Mob",45410,"PG",2007,"91",5.8,56,394,9
"64","Black Irish",6900,"R",2007,"95",6.9,31,2581,13
"65","King Corn",105422,"NR",2007,"88",7,96,2031,26
"66","Darfur Now",109107,"PG",2007,"98",6.7,73,762,59
"67","Rails & Ties",22136,"PG-13",2007,"101",6.7,34,4162,47
"68","Mr. Untouchable",104678,"R",2007,"92",6.6,73,929,26
"69","House",19444631,"R",1986,"93",6.1,0,27202,13
"70","Canvas",35630,"PG-13",2007,"94",4.3,78,139,27
"71","Skid Row",6627,"R",2007,"80",6.4,83,313,6
"72","Saawariya",885574,"PG",2007,"142",5.2,38,7951,21
"73","Aaja Nachle",484108,"NR",2007,"137",6.2,67,3296,6
"74","What Happens in Vegas",80277646,"PG-13",2008,"99",6.1,26,177379,133
"75","Appaloosa",20211394,"R",2008,"115",6.7,76,61615,164
"76","Good",27276,"R",2008,"92",6.2,32,7456,71
"77","The Visitor",9427089,"PG-13",2008,"104",7.6,89,43315,120
"78","Married Life",1507990,"PG-13",2008,"91",6.2,54,9442,118
"79","Badland",1924,"R",2007,"165",6.1,16,487,19
"80","The Oxford Murders",4803,"R",2010,"108",6.1,17,29390,12
"81","Untraceable",28687835,"R",2008,"101",6.2,16,50828,148
"82","Underworld Informers",300000,"R",2009,"105",6.9,12,360,105
"83","Meeting Resistance",20616,"NR",2007,"84",7.7,82,88,22
"84","The Freshman",21460601,"PG",1990,"77",7.5,94,5612,49
"85","The Kid Brother",69220,"PG-13",2008,"95",6.2,100,255,25
"86","The Rocker",6409528,"PG-13",2008,"102",6.2,41,38932,123
"87","The Perfect Holiday",5812781,"PG-13",2007,"96",4.7,19,3131,59
"88","Land of the Lost",49438370,"PG-13",2009,"102",5.3,26,70979,190
"89","Look",16136,"R",2007,"102",6.6,60,1818,35
"90","And God Created Woman",717376,"R",1988,"98",4.3,38,1957,8
"91","The Box",15051977,"PG-13",2009,"100",6.8,44,35,155
"92","Undoing",44999,"R",2008,"90",4.2,31,226,13
"93","21",81159365,"PG-13",2008,"105",7.3,35,89,170
"94","Ben X",1601,"NR",2008,"93",7.3,68,18973,38
"95","Body of Lies",39394666,"R",2008,"128",7,55,229117,213
"96","Passengers",292437,"PG-13",2008,"93",5.8,19,37462,31
"97","The Grand",115879,"R",2008,"104",5.9,40,5854,43
"98","The Hammer",443591,"R",2008,"88",7.1,80,6071,40
"99","Shutter",25928550,"PG-13",2008,"97",7,9,45271,66
"100","Priest",29136626,"PG-13",2011,"105",7.1,15,10486,100
"101","The Escapist",13439,"R",2009,"90",4.9,64,30,45
"102","Sugar",1082124,"R",2009,"78",5.7,92,1989,137
"103","Quid Pro Quo",11864,"R",2008,"82",6.1,61,2488,36
"104","Red the Half Breed",90380162,"R",2010,"103",6.8,70,84,27
"105","The Road",8117000,"R",2009,"111",7.2,73,239214,215
"106","G-Force",119436770,"PG",2009,"88",5.1,22,46866,127
"107","The Other Man",149528,"R",2009,"97",6.8,15,130,39
"108","The Duchess",13848978,"PG-13",2008,"110",6.9,62,83516,170
"109","Public Enemies",97104620,"R",2009,"68",7.2,68,28,278
"110","Fade to Black",728921,"R",2004,"102",6,29,4394,7
"111","Angel Heart",17185632,"R",1987,"113",7.2,79,88622,29
"112","Old Dogs",49492060,"PG",2009,"88",5.3,5,38171,110
"113","Surrogates",38577772,"PG-13",2009,"89",6.3,37,175411,116
"114","The Promotion",408709,"R",2008,"86",5.6,53,18941,77
"115","Soul Men",12082391,"R",2008,"100",6.4,46,11106,98
"116","Igor",19528602,"PG",2008,"87",5.9,39,23545,93
"117","The Stone Angel",459166,"R",2008,"115",6.1,44,1794,25
"118","Alvin and the Chipmunks: The Squeakquel",219614612,"PG",2009,"88",4.5,20,49442,84
"119","Ripple Effect",14059,"R",2008,"87",4.9,29,750,7
"120","Harold",13229,"PG-13",2008,"90",5.4,31,1949,16
"121","Push",31811527,"PG-13",2009,"105",4.4,23,604,127
"122","Bitch Slap",17365,"R",2010,"109",4.4,29,13833,17
"123","Forever Strong",719556,"PG-13",2008,"112",7.1,29,10724,21
"124","Chocolate",14845,"R",2009,"\N",6.8,74,37,34
"125","Fireproof",33456317,"PG",2008,"122",6.4,38,22968,21
"126","Friendship",1243910,"R",2008,"152",6.4,87,1010,15
"127","The Garden",26931,"NR",2009,"92",6.4,79,986,24
"128","Leaves of Grass",70066,"R",2010,"105",6.4,61,27288,38
"129","The Proposal",163958031,"PG-13",2009,"91",5.3,45,732,188
"130","Gigantic",102704,"R",2009,"98",6,36,9735,83
"131","Fuel",32465,"NR",2009,"87",8,72,60,18
"132","Hush",13583690,"NR",1998,"96",5.4,50,12368,8
"133","Anna Karenina",12816367,"NR",2012,"\N",6.3,93,23,14
"134","Orphan",41596251,"R",2009,"99",7.2,56,28,154
"135","My Sister's Keeper",49200230,"PG-13",2009,"97",6,48,431,137
"136","The Hangover",277322503,"R",2009,"100",7.7,78,780035,239
"137","The Stepfather",2488740,"PG-13",1987,"89",6.7,11,16104,63
"138","Season of the Witch",24827228,"PG-13",2011,"95",5.4,11,94546,124
"139","Shuttle",1925,"R",2009,"107",5.6,50,5833,22
"140","Miss March",4543320,"R",2009,"90",5,5,21542,80
"141","An American Affair",28044,"R",2009,"92",3.4,16,215,37
"142","Endgame",9645,"PG-13",2009,"84",7.5,71,320,7
"143","The Objective",95,"NR",2009,"90",5.4,33,8155,12
"144","Happy Tears",22464,"R",2010,"92",5.1,27,1559,33
"145","The Missing Person",17896,"NR",2009,"95",6,64,1614,25
"146","Crude",170295,"NR",2009,"88",6,95,67,66
"147","The Messenger",1109660,"R",2009,"95",4.4,90,200,162
"148","Outrage",287198,"R",2009,"75",6.8,77,1511,60
"149","New World Order",20205,"NR",2016,"83",5.7,56,678,9
"150","April Fool's Day",12947763,"R",1986,"89",6.1,50,16824,20
"151","Blood: The Last Vampire",257412,"R",2009,"48",6.6,25,12748,53
"152","Shrink",189621,"R",2009,"104",6.6,27,18880,64
"153","Last Ride",6853,"PG-13",2012,"106",6.4,93,48,28
"154","The Canyon",1785,"R",2009,"102",5.8,27,4709,15
"155","Broken Hill",54058,"PG",2009,"102",6.2,50,723,6
"156","A Beautiful Life",66171,"NR",2011,"81",4.3,0,411,12
"157","Chloe",3075255,"R",2010,"96",6.3,51,73955,163
"158","Armed and Dangerous",15945534,"PG-13",1986,"88",5.7,10,11824,10
"159","High Life",1225852,"R",2019,"72",6.5,80,21,5
"160","Around the World in 80 Days",24008137,"G",2004,"167",6.7,69,27718,42
"161","The Fall",2266905,"R",2008,"116",7,20,68,5
"162","The Good Heart",20930,"R",2010,"99",6.8,30,4759,37
"163","Wonderful World",9309,"R",2010,"89",6.1,42,2435,31
"164","Collapse",46964,"NR",2009,"82",7.7,83,7446,41
"165","The Last Song",62950384,"PG",2010,"96",6.5,21,127,120
"166","Babies",7320323,"PG",2010,"92",6.7,68,144,116
"167","Lottery Ticket",24719879,"PG-13",2010,"\N",7,34,9,82
"168","Life as We Know It",53374681,"PG-13",2010,"115",6.5,29,132526,151
"169","Frozen",400738009,"R",2013,"90",5.7,63,605,97
"170","Prodigal Sons",73544,"PG",2010,"86",7.1,87,741,30
"171","The Ghost Writer",15541549,"PG-13",2010,"23",7.1,84,88,206
"172","Repo Men",13794835,"R",2010,"111",6.3,22,107044,152
"173","Winter's Bone",6531503,"R",2010,"100",7.1,94,143493,174
"174","The Kids Are All Right",20811365,"R",2010,"106",7,92,130900,224
"175","Lucky",453507,"R",2005,"83",5.3,60,786,5
"176","High School",139034,"R",2012,"74",6.6,28,74,54
"177","Stolen",132596,"R",2006,"84",6.1,0,163,20
"178","Predators",52000688,"R",2010,"\N",4.6,64,8,202
"179","Stonewall Uprising",128203,"PG-13",2010,"80",7.2,84,587,31
"180","The Oath",42273,"NR",2010,"90",7.2,91,912,23
"181","Arthur",95461682,"PG",1981,"97",6.9,88,28977,33
"182","The Lottery",54543,"PG",2010,"100",5.9,64,978,14
"183","Assault on Precinct 13",20040895,"R",2005,"91",7.3,98,50764,43
"184","Asylum",375403,"PG",2005,"88",6.4,67,7290,12
"185","Avenging Angel",5622787,"R",1985,"93",4.8,33,1681,6
"186","The Aviator",102610330,"PG",2004,"75",7.1,20,20,5
"187","The Awakening",8415112,"R",1980,"90",5.7,0,75,5
"188","Bad Company",30160161,"PG",2002,"76",6.3,92,128,12
"189","The Best of Times",7790931,"PG-13",1986,"60",5.3,31,275,13
"190","Betrayed",25816139,"R",1988,"108",6.1,42,1211,12
"191","Big Business",40150487,"PG",1988,"60",5.4,44,33,18
"192","Black Rain",46212055,"R",1989,"125",6.6,50,55246,22
"193","Black Widow",25205460,"R",1987,"95",6.7,50,2930,22
"194","Blind Date",39321715,"PG-13",1987,"72",6,21,232,24
"195","Blood Feast",8708,"NR",2018,"67",5,38,6777,13
"196","Bluebeard",43144,"G",2017,"72",5.9,100,1949,12
"197","Border Cop",6118683,"R",1982,"87",4.6,80,344,10
"198","Born Yesterday",17952857,"NR",1993,"103",7.5,97,11451,34
"199","The Bounty",8613462,"PG",1984,"132",7,74,27571,19
"200","Brainstorm",10219460,"PG",1983,"105",6.6,55,648,20
"201","Brewster's Millions",40833132,"PG",1985,"\N",6.6,35,50,23
"202","Bug",7025810,"PG",2007,"99",5.2,33,2473,12
"203","Burglar",16337355,"R",1987,"103",5.1,27,4463,11
"204","Cape Fear",79091969,"NR",1991,"106",7.7,100,29442,22
"205","Carny",1817720,"R",1980,"107",6.4,50,2205,6
"206","Casino Royale",167445960,"G",2006,"131",5,25,30422,40
"207","Cat People",7000000,"R",1982,"73",7.2,95,23027,56
"208","Champion",175232,"NR",2017,"99",7.4,93,4376,14
"209","The Chase",7924955,"NR",1994,"86",6.5,89,2130,9
"210","Checking Out",30877,"R",1989,"96",4.8,20,459,5
"211","Children of the Corn",14568989,"R",1984,"92",5.6,35,52747,26
"212","A Christmas Story",20605209,"PG",1983,"93",7.9,89,147600,57
"213","College",4694636,"NR",2008,"66",7,89,4932,19
"214","Colors",46616067,"R",1988,"120",6.7,82,27135,34
"215","Commando",35100000,"R",1985,"90",6.7,71,161282,34
"216","Crossroads",37191304,"R",2002,"83",6.7,73,1467,15
"217","Dangerous Liaisons",34670720,"R",1988,"119",7.6,93,70503,30
"218","Dead Heat",3588626,"R",1988,"84",6,11,8280,9
"219","Distant Thunder",156188,"R",1988,"114",5.7,43,754,7
"220","Dolls",4067,"R",2004,"77",6.3,60,11404,15
"221","How the Grinch Stole Christmas",260044825,"NR",2000,"104",6.2,100,244345,25
"222","Dragnet",57387516,"PG-13",1987,"71",6.5,51,41,35
"223","The Dream Team",28890240,"PG-13",1989,"113",6.5,57,15512,14
"224","Dressed to Kill",31899000,"R",1980,"70",6.7,80,64,50
"225","Dune",30925690,"PG-13",1984,"137",6.3,53,161928,49
"226","Easy Money",29309766,"R",1983,"60",5.1,60,16,10
"227","The Elephant Man",26010864,"PG",1980,"124",8.2,92,240423,53
"228","Escape from New York",25244626,"R",1981,"99",7.1,86,142478,64
"229","Eyewitness",6400000,"R",1981,"82",6.2,75,281,12
"230","The Fan",18626419,"R",1996,"89",6.6,38,673,16
"231","Fandango",91666,"PG",1985,"90",6.5,50,13,6
"232","Fatal Attraction",156645693,"R",1987,"119",6.9,76,86932,54
"233","Father of the Bride",89325780,"G",1991,"92",7.1,90,11584,31
"234","Fire and Ice",760883,"PG",1983,"81",6.5,60,11030,5
"235","Flash Gordon",27107960,"PG",1980,"245",7,83,2447,48
"236","Flashback",6488114,"R",1990,"108",6.2,43,5475,14
"237","Flipper",20080020,"G",1996,"87",6.1,40,1874,5
"238","The Fly",40456565,"NR",1986,"94",7.1,95,23459,40
"239","Footloose",80035402,"PG",1984,"107",6.6,52,81062,42
"240","The Four Feathers",18306166,"NR",2002,"115",4.6,100,25,9
"241","Frantic",17637950,"R",1988,"120",6.8,76,53986,42
"242","Freaky Friday",110230332,"G",2003,"95",6.3,70,13089,23
"243","Fright Night",24922237,"R",1985,"106",7,92,70293,37
"244","The Fugitive",183875760,"NR",1993,"60",5.1,86,19,7
"245","Fun with Dick and Jane",110332737,"PG",2005,"95",6.4,50,4540,14
"246","Funny Farm",25537221,"PG",1988,"101",6.2,65,23346,20
"247","Gallipoli",5732587,"PG",1981,"110",7.4,91,39866,45
"248","The Gambler",33680992,"R",2014,"111",7.1,78,5602,9
"249","Gloria",4197729,"PG",1999,"90",6.5,93,36,27
"250","Glory",26979166,"R",1989,"100",5.7,93,205,44
"251","Gone in 60 Seconds",101648571,"PG",2000,"105",6.4,43,9169,14
"252","Gulliver's Travels",42779261,"NR",2010,"76",6.6,69,4422,13
"253","Gung Ho",36611610,"PG-13",1986,"112",6.3,33,13184,21
"254","The Hand",2447576,"R",1981,"61",4.9,11,297,9
"255","The Haunting",91411151,"G",1999,"112",7.4,88,39586,41
"256","Heat",67436818,"R",1995,"102",6.1,17,1826,6
"257","Heaven",784399,"PG-13",2002,"80",6.7,67,281,6
"258","The Hills Have Eyes",41778863,"R",2006,"90",6.3,65,35340,26
"259","The Hit",876775,"R",1985,"98",7,86,8534,14
"260","Hot Pursuit",34580201,"PG-13",2015,"93",5.7,0,3761,5
"261","100 Bloody Acres",6388,"NR",2013,"91",6,79,4295,38
"262","House of Wax",32064800,"PG",2005,"88",7,95,18381,42
"263","The Hunchback of Notre Dame",100138851,"PG",1996,"117",7.8,92,11473,24
"264","The Hunter",16274150,"PG",1980,"97",6.2,50,6348,12
"265","I, the Jury",1515578,"R",1982,"87",6.1,40,438,10
"266","The Importance of Being Earnest",8384929,"PG",2002,"95",7.5,88,5771,24
"267","Impulse",2773433,"R",1984,"80",6,25,228,8
"268","The Island",35818913,"R",2005,"109",5.3,40,4426,5
"269","The Island of Dr. Moreau",27663982,"PG",1996,"99",5.9,56,6543,25
"270","It",327481748,"NR",2017,"72",7.2,87,3262,15
"271","Jack Frost",34562556,"G",1998,"48",6.9,57,4040,7
"272","The Jazz Singer",27118000,"NR",1980,"88",6.4,75,10117,28
"273","Kansas",2432536,"R",1988,"110",5.4,20,1179,10
"274","Kickboxer",14697005,"R",1989,"97",6.4,36,56099,11
"275","King Kong",218080025,"G",2005,"100",7.9,98,85661,64
"276","The King of Comedy",2536242,"PG",1983,"109",7.8,89,103697,62
"277","King Solomon's Mines",15057465,"G",1985,"77",6.3,92,1297,12
"278","The Ladykillers",39799191,"NR",2004,"91",7.6,100,29470,26
"279","Legend",15502112,"PG",1986,"94",6.3,38,66546,40
"280","Little Shop of Horrors",38982260,"PG-13",1986,"94",7.1,90,76308,51
"281","Lock Up",22099847,"R",1989,"109",6.4,23,43437,13
"282","The Longest Yard",158119460,"R",2005,"121",7.1,79,19429,34
"283","Lovesick",10171304,"PG",1983,"95",5.2,40,856,5
"284","Made in Heaven",4572845,"PG",1987,"81",5.3,50,130,12
"285","The Manchurian Candidate",65955630,"PG-13",2004,"126",7.9,97,75727,59
"286","The Manhattan Project",3900000,"PG-13",1986,"117",6.1,50,6273,18
"287","Manhunter",8620929,"R",1986,"74",7.1,93,93,42
"288","Mannequin",42721196,"PG",1987,"70",7,21,23,39
"289","Masquerade",15855828,"R",1988,"70",7.8,50,17,16
"290","The Mechanic",29121498,"R",2011,"100",6.8,25,14273,8
"291","A Midsummer Night's Dream",16071990,"NR",1999,"133",6.8,91,3554,11
"292","Mighty Joe Young",50632037,"PG",1998,"94",7,95,5332,20
"293","Missing in Action",22812411,"R",1984,"101",5.4,19,15222,16
"294","The Mission",17218023,"PG",1986,"125",7.4,64,61622,25
"295","Morning Glory",31011732,"NR",2010,"74",6.4,64,3041,11
"296","Mr. & Mrs. Smith",186336279,"NR",2005,"95",6.3,67,10573,21
"297","Mrs. Soffel",4385312,"PG-13",1984,"110",6.1,36,3319,11
"298","The Mummy",155385488,"NR",1999,"73",7,88,26803,42
"299","Near Dark",3369307,"R",1987,"94",6.9,88,39639,50
"300","Neighbors",150157400,"R",2014,"94",5.5,57,8106,7
"301","Next of Kin",15942628,"R",1989,"89",6.3,56,3240,9
"302","Night of the Living Dead",5835247,"NR",1990,"96",7.8,97,128285,70
"303","Nighthawks",14905359,"R",1981,"113",6.2,70,620,20
"304","No Man's Land",1012153,"R",2001,"120",6.5,50,47,6
"305","No Mercy",12303904,"R",1986,"106",5.7,27,7708,15
"306","No Way Out",35509515,"R",1987,"106",7.4,91,5654,45
"307","Only When I Laugh",25524778,"R",1981,"120",6.4,57,1501,7
"308","The Out-of-Towners",28544120,"PG-13",1999,"90",5.5,63,14182,16
"309","The Parent Trap",66308518,"G",1998,"129",7.2,90,21857,20
"310","Peter Pan",48462608,"G",2003,"105",7.1,81,1089,36
"311","The Phantom of the Opera",51268815,"R",2004,"93",7.5,38,18506,13
"312","The Pirates of Penzance",694497,"G",1983,"112",7.1,81,3575,16
"313","Point Blank",708215,"R",2011,"92",7.3,95,21254,37
"314","Poltergeist",76606280,"PG",1982,"114",7.3,86,162303,63
"315","Popeye",49823037,"PG",1980,"114",5.3,61,32180,33
"316","Posse",18289763,"PG",1993,"92",6.5,67,2246,6
"317","The Postman Always Rings Twice",12376625,"R",1981,"113",7.4,89,21015,27
"318","Power",3800000,"R",1986,"\N",4.3,50,19,12
"319","Pride and Prejudice",38405088,"NR",2005,"118",7.4,100,8466,11
"320","The Producers",19398532,"PG",2005,"88",7.5,90,56251,71
"321","Project X",54731865,"PG",2012,"60",5.7,75,18,20
"322","Prom Night",14796236,"R",1980,"92",5.3,48,18328,23
"323","Promised Land",316199,"R",1988,"102",5.7,53,1375,154
"324","Pulse",20264436,"PG-13",2006,"91",5.4,62,2520,13
"325","Raw Deal",16209459,"R",1986,"79",7.2,23,4970,13
"326","The Razor's Edge",6551987,"NR",1984,"145",7.3,71,6198,7
"327","Reckless",8289916,"R",1984,"97",6.4,0,1247,5
"328","Red Heat",34994648,"R",1988,"104",4.8,67,820,24
"329","Red Sonja",6948633,"PG-13",1985,"89",5.1,15,42100,26
"330","Return to Oz",11137801,"PG",1985,"51",5.5,53,173,34
"331","Revenge",15645616,"R",1990,"70",8.3,35,34,17
"332","Rich and Famous",14492125,"R",1981,"117",5.9,57,1741,14
"333","Risky Business",63541777,"R",1983,"86",6.6,92,27,49
"334","Road House",30050028,"R",1989,"76",5.7,39,51,44
"335","Robin Hood",105269730,"G",2010,"\N",6.1,54,52,28
"336","Runaway",6770587,"PG-13",1984,"99",5.8,47,13499,19
"337","Sabrina",53672080,"G",1995,"113",7.6,92,65293,38
"338","Sahara",68671925,"NR",2005,"70",4.6,100,18,10
"339","Second Sight",5368865,"PG",1989,"83",4.3,0,1374,6
"340","Shaft",70334258,"R",2000,"100",6.6,88,19317,42
"341","The Shaggy Dog",61123569,"G",2006,"104",6.4,68,5148,19
"342","Shakedown",10068039,"R",1988,"55",6.3,63,12,8
"343","Shall We Dance",57890460,"NR",2004,"109",7.5,89,7337,9
"344","Short Circuit",40697761,"PG",1986,"98",6.6,59,62337,37
"345","Silent Night, Deadly Night",2491460,"R",1984,"79",5.8,35,16126,20
"346","Simon",4055,"PG",2006,"97",6.3,57,925,7
"347","Skin Deep",19674852,"R",1989,"64",7.5,38,23,16
"348","Splash",69821334,"PG",1984,"111",6.3,NA,77503,NA
"349","Spring Break",24071666,"R",1983,"102",4.8,20,3233,10
"350","The Squeeze",2228951,"PG-13",1987,"104",6.3,14,732,7
"351","Stakeout",65673233,"R",1987,"117",6.7,88,26730,26
"352","Suddenly",44806,"PG",2003,"96",5.4,100,157,9
"353","Summer School",35659098,"PG-13",1987,"73",6.2,63,80,30
"354","The Risk",18782400,"R",1987,"81",6.1,67,249,18
"355","Target",9023199,"R",1985,"61",5.7,71,136,7
"356","Tarzan, the Ape Man",36565280,"R",1981,"82",3.7,10,355,20
"357","Tempest",5005245,"PG",1982,"102",6.8,55,455,11
"358","Thief",11492915,"R",1981,"74",7.2,94,90,31
"359","Thirst",318574,"R",2009,"93",5.8,100,1457,5
"360","The Time Machine",56832494,"G",2002,"103",7.5,76,41566,37
"361","Top Secret!",20458340,"PG",1984,"90",7.2,77,67403,35
"362","Tough Guys",21458229,"PG",1986,"92",5.6,57,355,14
"363","The Trip",306567,"R",2003,"82",6,39,5058,23
"364","Twins",111938388,"PG",1988,"107",6.1,43,125046,42
"365","Uncommon Valor",30503151,"R",1983,"105",6.3,56,10577,9
"366","Valley Girl",17343596,"R",1983,"99",6.4,83,16041,29
"367","The Legend of Spider Forest",5229643,"R",1982,"91",4.6,43,227,7
"368","Vice Versa",13664060,"PG",1988,"\N",6.7,43,17,14
"369","Victory",10853418,"PG",1981,"\N",6.4,63,18,8
"370","Village of the Damned",9418365,"R",1995,"77",7.3,92,17352,26
"371","Walking Tall",46437717,"R",2004,"125",6.9,75,6056,12
"372","Water",5529144,"PG-13",2006,"115",6,0,2479,6
"373","We're No Angels",10555348,"PG-13",1989,"106",7.4,47,9649,19
"374","Weird Science",23834048,"PG-13",1985,"94",6.6,57,89367,35
"375","When a Stranger Calls",47860214,"R",2006,"97",6.4,41,12487,17
"376","Willard",6886089,"PG",2003,"95",6.2,57,4594,23
"377","Witness",68706993,"R",1985,"112",7.4,93,95597,41
"378","Year of the Dragon",18707466,"R",1985,"134",6.8,56,16144,18
"379","Yours, Mine and Ours",53412862,"NR",2005,"111",7.1,50,9031,12
"380","Blue Steel",8217997,"R",1990,"54",5.3,75,1613,24
"381","Where the Heart Is",33772838,"R",2000,"107",5.9,10,1676,10
"382","The Guardian",55011732,"R",2006,"105",6.4,30,455,10
"383","Mystery Train",1541218,"R",1989,"110",7.5,89,28536,35
"384","Revolution",358574,"PG-13",1985,"87",6.8,10,211,20
"385","Henry V",10161099,"PG-13",1989,"\N",4.7,100,6,40
"386","Kiss of Death",14942422,"NR",1995,"99",7.4,88,8453,17
"387","My Blue Heaven",23591472,"PG-13",1990,"96",6.2,71,526,17
"388","Dick Tracy",103738726,"PG",1990,"290",6.5,63,622,54
"389","Navy Seals",25069101,"R",1990,"113",5.5,19,16948,32
"390","102 Dalmatians",66957026,"G",2000,"100",4.8,31,37684,90
"391","Narrow Margin",10873237,"R",1990,"97",6.5,57,9380,14
"392","Ghost",217631306,"PG-13",1990,"127",7.1,74,216828,74
"393","Memphis Belle",27441977,"PG-13",1990,"107",6.9,67,28729,24
"394","Faust",58132,"NR",2013,"97",7.4,94,3951,31
"395","Avalon",15740796,"PG",1990,"128",7.2,85,6371,26
"396","The Rookie",75600072,"R",2002,"84",4.2,29,116,14
"397","The Long Walk Home",4873620,"PG",1990,"97",7.3,87,4182,15
"398","Anastasia",58406347,"NR",1997,"105",7,91,8641,11
"399","Jane Eyre",11242660,"R",2011,"50",8,100,19,13
"400","After Hours",10609321,"R",1985,"97",7.6,89,69603,56
"401","White Fang",34793160,"PG",1991,"60",6,65,41,20
"402","Alice",7331647,"PG-13",1990,"106",6.6,75,14435,28
"403","Hidden Agenda",1030938,"R",1990,"108",6.9,85,4182,20
"404","The Connection",190980,"NR",2015,"110",7,95,908,20
"405","Awakenings",52096475,"PG-13",1990,"121",7.8,88,141297,33
"406","True Colors",418807,"R",1991,"111",6.3,47,5384,15
"407","Switch",15545943,"R",1991,"103",5.8,32,9772,19
"408","The Field",1494399,"PG-13",1990,"107",7.3,43,6215,14
"409","Oscar",23562716,"PG",1991,"85",7.5,12,6814,17
"410","Toy Soldiers",15073942,"R",1991,"85",4.8,36,618,14
"411","The Miracle",835519,"PG",1991,"121",5.9,67,460,9
"412","Hot Shots!",69467617,"PG-13",1991,"84",6.7,83,108732,24
