"","Title","LifetimeGross","contentR","Year","Runtime","imdbR","rottentmtR","imdbC","rottentmtC"
"4864","Mission: Impossible III",134029801,"PG-13",2006,"126",6.9,71,356456,224
"4865","Mission: Impossible - Fallout",220159104,"PG-13",2018,"147",7.7,97,330644,428
"4866","Mission Park",54204,"R",2013,"92",5.8,0,30,6
"4867","Mission to Mars",60883407,"PG",2000,"114",5.6,24,73739,112
"4868","The Missionary",7241180,"R",1982,"90",6.2,100,2439,5
"4869","Missionary",2120,"R",2014,"90",5.3,45,740,11
"4870","Mississippi Burning",34603943,"R",1988,"128",7.8,84,100993,25
"4871","Mississippi Grind",130541,"R",2015,"108",6.4,91,23931,118
"4872","The Mist",25594957,"R",2007,"126",7.1,72,309559,145
"4873","Mistress",1102469,"R",1992,"100",7,72,110,18
"4874","Mixed Nuts",6821850,"PG-13",1994,"97",5.4,10,12000,30
"4875","Mo' Better Blues",16153593,"R",1990,"129",6.6,71,12707,34
"4876","Mo' Money",40227006,"R",1992,"89",5.5,16,7752,25
"4877","Moana",248757044,"PG",2016,"77",6.8,95,648,279
"4878","Mobsters",20246790,"R",1991,"104",5.9,6,9231,32
"4879","The Mod Squad",13263993,"R",1999,"92",4.3,3,9170,63
"4880","Modern Romance",2863642,"R",1981,"93",7,81,3949,21
"4881","Modigliani",205165,"R",2005,"128",7.2,4,11914,24
"4882","Moebius",2340,"NR",2014,"88",6.8,79,2000,43
"4883","Death Valley",8253,"R",2016,"92",5.6,31,522,65
"4884","Sex in Sweden",17650,"PG-13",1999,"96",6.1,14,110,22
"4885","Molly's Game",28780744,"R",2017,"140",7.4,81,171173,297
"4886","Mom and Dad Save the World",2034470,"PG",1992,"88",5.3,9,4833,23
"4887","Mommie Dearest",19032261,"PG",1981,"129",6.6,49,16508,43
"4888","Mommy",3494070,"R",2014,"89",4.8,89,402,128
"4889","Moms' Night Out",10429707,"PG",2014,"98",5.3,20,13984,44
"4890","Mona Lisa",5794184,"R",1986,"104",7.3,97,16938,30
"4891","Mona Lisa Smile",63860942,"PG-13",2003,"117",6.5,34,83246,152
"4892","Money Monster",41012075,"R",2016,"98",6.5,59,100383,279
"4893","The Money Pit",37499651,"PG",1986,"91",6.4,48,57434,21
"4894","Money Talks",40922619,"R",1997,"97",6.2,16,29727,19
"4895","Money Train",35431113,"R",1995,"110",5.7,22,41318,32
"4896","Moneyball",75605492,"PG-13",2011,"133",7.6,94,420808,266
"4897","Mongol: The Rise of Genghis Khan",5705761,"R",2008,"126",7.2,86,46994,103
"4898","Monkey Trouble",16453258,"PG",1994,"96",5.3,50,6864,12
"4899","Monkeybone",5411999,"PG-13",2001,"93",4.8,19,18023,114
"4900","Monogamy",21527,"NR",2011,"96",5,48,855,25
"4901","Monsoon Wedding",13885966,"R",2002,"114",7.3,95,25876,123
"4902","Monstroid",34469210,"R",2003,"98",2.7,81,779,190
"4903","Monster House",73661010,"PG",2006,"91",6.6,75,119432,162
"4904","Monster-in-Law",82931301,"PG-13",2005,"101",5.5,18,61929,170
"4905","The Monster Squad",3769990,"PG-13",1987,"79",6.9,62,32610,26
"4906","Monster Trucks",33370166,"PG",2017,"104",5.6,32,17365,97
"4907","Monsters",237301,"R",2010,"\N",5.1,73,18,160
"4908","Monsters and Men",500101,"R",2018,"96",6,84,2433,79
"4909","Monster's Ball",31273922,"R",2001,"111",7.1,85,89867,143
"4910","Monsters, Inc.",289916256,"G",2001,"92",8.1,96,900864,196
"4911","Monsters University",268492764,"G",2013,"104",7.3,80,358118,202
"4912","Monte Carlo",23186769,"PG",2011,"90",6.7,40,1333,93
"4913","A Month by the Lake",2101087,"PG",1995,"92",6.2,71,2474,17
"4914","Moon",5010163,"R",2009,"97",7.8,90,358387,193
"4915","Moonlight and Valentino",2484226,"R",1995,"105",5.7,15,3760,13
"4916","Moonlight Mile",6835856,"PG-13",2002,"117",6.6,63,14222,150
"4917","Moonrise Kingdom",45512466,"PG-13",2012,"94",7.8,94,348791,262
"4918","Moonstruck",80640528,"PG",1987,"102",7.1,93,60132,61
"4919","More Than a Game",950675,"PG",2009,"105",7.6,71,5459,51
"4920","More Than Honey",79772,"NR",2013,"95",7.5,100,4207,39
"4921","Morgan",3915251,"R",2016,"89",6.7,38,1560,152
"4922","Morning",4029,"R",2013,"89",7.5,45,40,11
"4923","The Morning After",25147055,"R",1986,"75",7.7,63,221,19
"4924","Morning Light",275497,"PG",2008,"100",5.8,33,396,33
"4925","Mortal Engines",15951040,"PG-13",2018,"128",6.1,26,126321,186
"4926","Mortal Kombat",70454098,"PG-13",1995,"101",5.8,48,118372,40
"4927","Mortal Kombat: Annihilation",35927406,"PG-13",1997,"95",3.6,2,55027,43
"4928","Mortal Thoughts",18784957,"R",1991,"103",5.7,57,9071,14
"4929","Mortdecai",7696134,"R",2015,"107",5.5,12,73333,110
"4930","The Mosquito Coast",14302779,"PG",1986,"117",6.6,76,29271,21
"4931","Motel Hell",6342668,"R",1980,"101",6,71,12165,24
"4932","Mother and Child",1110509,"R",2010,"125",7.2,78,12286,128
